"unitid","institution name","year","EF2017A.Level of student","EF2017A.Grand total","EF2017A.Grand total women","EF2017A.Asian total","EF2017A.Black or African American total","EF2017A.Hispanic total","IDX_EF"
"100812","Athens State University","2017","All students, Undergraduate total","2967","1996","26","394","78","-2"
"100937","Birmingham Southern College","2017","All students, Undergraduate total","1283","662","71","152","23","-2"
"101073","Concordia College Alabama","2017","All students, Undergraduate total","389","197","0","352","5","-2"
"101116","South University-Montgomery","2017","All students, Undergraduate total","369","268","4","245","9","-2"
"101435","Huntingdon College","2017","All students, Undergraduate total","1102","568","5","229","63","-2"
"101541","Judson College","2017","All students, Undergraduate total","315","309","6","63","9","-2"
"101675","Miles College","2017","All students, Undergraduate total","1650","813","0","1584","12","-2"
"101693","University of Mobile","2017","All students, Undergraduate total","1443","929","19","237","27","-2"
"101912","Oakwood University","2017","All students, Undergraduate total","1650","959","7","1375","63","-2"
"102234","Spring Hill College","2017","All students, Undergraduate total","1377","870","15","221","30","-2"
"102270","Stillman College","2017","All students, Undergraduate total","677","381","0","587","13","-2"
"102298","Talladega College","2017","All students, Undergraduate total","782","369","0","678","37","-2"
"104090","Brookline College-Phoenix","2017","All students, Undergraduate total","1056","892","55","214","319","-2"
"104586","Embry-Riddle Aeronautical University-Prescott","2017","All students, Undergraduate total","2606","634","149","56","152","-2"
"105899","Arizona Christian University","2017","All students, Undergraduate total","786","293","9","105","168","-2"
"106342","Lyon College","2017","All students, Undergraduate total","672","303","17","46","55","-2"
"106412","University of Arkansas at Pine Bluff","2017","All students, Undergraduate total","2517","1482","8","2316","40","-2"
"106713","Central Baptist College","2017","All students, Undergraduate total","745","320","4","158","26","-2"
"107080","Hendrix College","2017","All students, Undergraduate total","1238","648","65","92","69","-2"
"107512","Ouachita Baptist University","2017","All students, Undergraduate total","1545","844","7","121","72","-2"
"107558","University of the Ozarks","2017","All students, Undergraduate total","755","379","7","58","78","-2"
"107600","Philander Smith College","2017","All students, Undergraduate total","891","556","2","845","12","-2"
"107877","Williams Baptist College","2017","All students, Undergraduate total","494","210","1","63","29","-2"
"108092","University of Arkansas-Fort Smith","2017","All students, Undergraduate total","6620","3740","352","275","819","-2"
"111188","California State University Maritime Academy","2017","All students, Undergraduate total","1050","190","96","25","213","-2"
"112084","San Diego Christian College","2017","All students, Undergraduate total","658","333","17","75","191","-2"
"112260","Claremont McKenna College","2017","All students, Undergraduate total","1338","641","152","54","199","-2"
"112394","Cogswell College","2017","All students, Undergraduate total","608","179","131","29","123","-2"
"115409","Harvey Mudd College","2017","All students, Undergraduate total","861","410","150","32","150","-2"
"115773","Humphreys University-Stockton and Modesto Campuses","2017","All students, Undergraduate total","324","231","49","33","140","-2"
"116846","American Jewish University","2017","All students, Undergraduate total","67","38","1","0","0","-2"
"118541","Marymount California University","2017","All students, Undergraduate total","929","469","48","71","376","-2"
"120254","Occidental College","2017","All students, Undergraduate total","1972","1125","272","94","276","-2"
"120865","Pacific Union College","2017","All students, Undergraduate total","1226","762","223","91","313","-2"
"121257","Pitzer College","2017","All students, Undergraduate total","1074","584","103","66","165","-2"
"121345","Pomona College","2017","All students, Undergraduate total","1599","788","236","148","256","-2"
"122728","William Jessup University","2017","All students, Undergraduate total","1204","709","55","73","233","-2"
"123165","Scripps College","2017","All students, Undergraduate total","1065","1065","170","38","141","-2"
"124292","Thomas Aquinas College","2017","All students, Undergraduate total","369","194","8","2","62","-2"
"125727","Westmont College","2017","All students, Undergraduate total","1300","789","91","26","226","-2"
"125763","Whittier College","2017","All students, Undergraduate total","1681","953","113","84","838","-2"
"126678","Colorado College","2017","All students, Undergraduate total","2107","1128","83","53","180","-2"
"127185","Fort Lewis College","2017","All students, Undergraduate total","3300","1700","21","37","367","-2"
"127556","Colorado Mesa University","2017","All students, Undergraduate total","9459","5051","151","203","1764","-2"
"127680","National American University-Colorado Springs","2017","All students, Undergraduate total","196","104","6","40","36","-2"
"128328","United States Air Force Academy","2017","All students, Undergraduate total","4276","1113","223","247","458","-2"
"128780","Charter Oak State College","2017","All students, Undergraduate total","1416","965","26","231","215","-2"
"128902","Connecticut College","2017","All students, Undergraduate total","1817","1142","86","68","140","-2"
"129774","Mitchell College","2017","All students, Undergraduate total","707","293","12","87","99","-2"
"130590","Trinity College","2017","All students, Undergraduate total","2221","1131","87","132","175","-2"
"130624","United States Coast Guard Academy","2017","All students, Undergraduate total","1044","367","68","66","97","-2"
"130697","Wesleyan University","2017","All students, Undergraduate total","2976","1600","236","212","334","-2"
