"unitid","institution name","year","DRVGR2009_RV.Graduation rate - Bachelor degree within 6 years, total"
"162654","Goucher College","2009","69"
"163912","St Mary's College of Maryland","2009","79"
"163921","Sojourner-Douglass College","2009","17"
"163976","St. John's College","2009","60"
"164155","United States Naval Academy","2009","88"
"164216","Washington College","2009","79"
"164270","McDaniel College","2009","70"
"164465","Amherst College","2009","94"
"164720","Becker College","2009","32"
"165671","Emmanuel College","2009","63"
"165936","Gordon College","2009","73"
"166018","Hampshire College","2009","64"
"166124","College of the Holy Cross","2009","89"
"166939","Mount Holyoke College","2009","83"
"166948","Mount Ida College","2009","33"
"167251","Newbury College","2009","45"
"167288","Massachusetts College of Liberal Arts","2009","50"
"167455","Pine Manor College","2009","1"
"167792","Bard College at Simon's Rock","2009",
"167835","Smith College","2009","84"
"167996","Stonehill College","2009","82"
"168218","Wellesley College","2009","90"
"168281","Wheaton College","2009","75"
"168342","Williams College","2009","96"
"168528","Adrian College","2009","0"
"168546","Albion College","2009","74"
"168591","Alma College","2009","64"
"169080","Calvin College","2009","75"
"169363","Concordia University-Ann Arbor","2009","0"
"170286","Hillsdale College","2009",
"170301","Hope College","2009","79"
"170532","Kalamazoo College","2009","75"
"170639","Lake Superior State University","2009","26"
"170967","Rochester College","2009","43"
"171599","Olivet College","2009","40"
"171881","Kuyper College","2009","40"
"172440","Finlandia University","2009","35"
"173142","Bethany Lutheran College","2009","56"
"173258","Carleton College","2009","92"
"173300","Concordia College at Moorhead","2009","66"
"173647","Gustavus Adolphus College","2009","85"
"173902","Macalester College","2009","86"
"174075","University of Minnesota-Crookston","2009","38"
"174251","University of Minnesota-Morris","2009","59"
"174394","Sanford-Brown College-Mendota Heights","2009","19"
"174437","North Central University","2009","46"
"174747","College of Saint Benedict","2009","78"
"174792","Saint Johns University","2009","80"
"174844","St Olaf College","2009","87"
"174862","Crown College","2009","49"
"175430","Blue Mountain College","2009","48"
"175980","Millsaps College","2009","66"
"176318","Rust College","2009","18"
"176406","Tougaloo College","2009","42"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2009","40"
"177144","Culver-Stockton College","2009","49"
"177542","Hannibal-LaGrange University","2009","41"
"177551","Harris-Stowe State University","2009","21"
"178341","Missouri Southern State University","2009","32"
"178369","Missouri Valley College","2009","33"
"178387","Missouri Western State University","2009","27"
"178697","College of the Ozarks","2009","60"
"179946","Westminster College","2009","58"
"179955","William Jewell College","2009","63"
"180106","Carroll College","2009","64"
"180258","University of Providence","2009","18"
"180416","Montana Tech of the University of Montana","2009","42"
"180522","Montana State University-Northern","2009","30"
"180595","Rocky Mountain College","2009","45"
"180692","The University of Montana-Western","2009","28"
"181020","Doane University-Arts & Sciences","2009","64"
"181093","Grace University","2009","42"
"181127","Hastings College","2009","62"
"181330","Midland University","2009","48"
"181738","Union College","2009","52"
"181853","York College","2009","37"
"182634","Colby-Sawyer College","2009","60"
"183071","University of New Hampshire at Manchester","2009","47"
"183239","Saint Anselm College","2009","73"
"183257","Granite State College","2009","57"
"183275","Thomas More College of Liberal Arts","2009","65"
"183822","Bloomfield College","2009","27"
"184348","Drew University","2009","76"
"189088","Bard College","2009","79"
"189097","Barnard College","2009","91"
"189848","Cazenovia College","2009","39"
"190099","Colgate University","2009","90"
"190248","Concordia College-New York","2009","39"
"190372","Cooper Union for the Advancement of Science and Art","2009","83"
"190646","CUNY Medgar Evers College","2009","5"
"190655","CUNY New York City College of Technology","2009","17"
"190691","CUNY York College","2009","24"
"190983","Elmira College","2009","66"
"191205","Five Towns College","2009","41"
"191515","Hamilton College","2009","86"
"191533","Hartwick College","2009","57"
"191621","Hilbert College","2009","46"
"191630","Hobart William Smith Colleges","2009","79"
"191676","Houghton College","2009","69"
"192864","Marymount Manhattan College","2009","49"
"194392","Paul Smiths College of Arts and Science","2009","32"
"195173","St Francis College","2009","50"
"195216","St Lawrence University","2009","81"
"195304","Sarah Lawrence College","2009","75"
"195474","Siena College","2009","73"
"195526","Skidmore College","2009","85"
"196042","Farmingdale State College","2009","36"
"196219","SUNY at Purchase College","2009","49"
"196866","Union College","2009","86"
"197027","United States Merchant Marine Academy","2009","77"
"197036","United States Military Academy","2009","82"
"197133","Vassar College","2009","92"
"197230","Wells College","2009","59"
"197911","Barton College","2009","40"
"197984","Belmont Abbey College","2009","33"
"197993","Bennett College","2009","48"
"198066","Brevard College","2009","30"
"198215","Catawba College","2009","55"
"198303","Chowan University","2009","21"
"198385","Davidson College","2009","91"
"198598","Greensboro College","2009","45"
"198613","Guilford College","2009","61"
"198695","High Point University","2009","56"
"198756","Johnson C Smith University","2009","38"
"198808","Lees-McRae College","2009","46"
"198862","Livingstone College","2009","28"
"198899","Mars Hill University","2009","40"
"198950","Meredith College","2009","57"
"199069","University of Mount Olive","2009","35"
"199111","University of North Carolina at Asheville","2009","59"
"199209","North Carolina Wesleyan College","2009","22"
"199272","William Peace University","2009","35"
"199582","Saint Augustine's University","2009","48"
"199607","Salem College","2009","60"
"199643","Shaw University","2009","34"
"199698","St. Andrews University","2009","43"
"199865","Warren Wilson College","2009","43"
"200059","Dickinson State University","2009","28"
"200156","University of Jamestown","2009","49"
"200226","Mayville State University","2009","38"
"200572","Valley City State University","2009","43"
"201371","Bluffton University","2009","64"
"201654","Cedarville University","2009","70"
"201690","Central State University","2009","19"
"201964","Ohio Christian University","2009","52"
"202514","Defiance College","2009","46"
"202523","Denison University","2009","85"
"203128","Hiram College","2009","69"
"203535","Kenyon College","2009","89"
"203845","Marietta College","2009","56"
"204185","University of Mount Union","2009","63"
"204501","Oberlin College","2009","86"
"204635","Ohio Northern University","2009","66"
"204671","Ohio State University-Lima Campus","2009","35"
"204909","Ohio Wesleyan University","2009","60"
"205443","Shawnee State University","2009","22"
"206330","Urbana University","2009","32"
"206491","Wilberforce University","2009","30"
"206507","Wilmington College","2009","48"
"206525","Wittenberg University","2009","66"
"206589","The College of Wooster","2009","76"
"206613","Wright State University-Lake Campus","2009","31"
"207351","Oklahoma Panhandle State University","2009","38"
"207403","Oklahoma Baptist University","2009","55"
"207661","Rogers State University","2009","14"
"207689","St. Gregory's University","2009","28"
"207722","University of Science and Arts of Oklahoma","2009","30"
"207856","Southwestern Christian University","2009","27"
"209056","Lewis & Clark College","2009","78"
"209065","Linfield College-McMinnville Campus","2009","74"
"209506","Oregon Institute of Technology","2009","40"
"209922","Reed College","2009","78"
"210304","Warner Pacific College","2009","39"
"210401","Willamette University","2009","79"
"210492","Bryn Athyn College of the New Church","2009","33"
"210571","Albright College","2009","62"
"210669","Allegheny College","2009","74"
"210906","The Art Institutes of York-PA","2009",
"211273","Bryn Mawr College","2009","80"
"211291","Bucknell University","2009","90"
"211468","Cedar Crest College","2009","55"
"211477","Central Penn College","2009","47"
"211608","Cheyney University of Pennsylvania","2009","24"
"212009","Dickinson College","2009","84"
"212197","Elizabethtown College","2009","78"
"212577","Franklin and Marshall College","2009","85"
"212674","Gettysburg College","2009","83"
"212805","Grove City College","2009","84"
"212911","Haverford College","2009","92"
"213251","Juniata College","2009","79"
"213303","Keystone College","2009","47"
"213358","La Roche College","2009","59"
"213385","Lafayette College","2009","90"
"213668","Lycoming College","2009","76"
"213996","Messiah College","2009","78"
"214157","Moravian College","2009","75"
"214175","Muhlenberg College","2009","85"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2009","68"
"214625","Pennsylvania State University-Penn State New Kensington","2009","49"
"214634","Pennsylvania State University-Penn State Shenango","2009","37"
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2009","51"
"214652","Pennsylvania State University-Penn State Worthington Scranton","2009","39"
"214670","Pennsylvania State University-Penn State Lehigh Valley","2009","47"
"214689","Pennsylvania State University-Penn State Altoona","2009","68"
"214698","Pennsylvania State University-Penn State Beaver","2009","49"
"214704","Pennsylvania State University-Penn State Berks","2009","64"
"214731","Pennsylvania State University-Penn State Brandywine","2009","37"
"214786","Pennsylvania State University-Penn State Greater Allegheny","2009","47"
"214801","Pennsylvania State University-Penn State Abington","2009","46"
"214810","Pennsylvania State University-Penn State Schuylkill","2009","49"
"214829","Pennsylvania State University-Penn State York","2009","45"
"214883","Peirce College","2009","7"
"215266","University of Pittsburgh-Bradford","2009","44"
"215275","University of Pittsburgh-Greensburg","2009","54"
"215284","University of Pittsburgh-Johnstown","2009","63"
"215798","Saint Vincent College","2009","73"
"216278","Susquehanna University","2009","81"
"216287","Swarthmore College","2009","93"
"216357","Thiel College","2009","40"
"216524","Ursinus College","2009","83"
"216542","University of Valley Forge","2009","47"
"216667","Washington & Jefferson College","2009","73"
"216807","Westminster College","2009","75"
"217013","Wilson College","2009","41"
"217624","Allen University","2009","19"
"217721","Benedict College","2009","31"
"217873","Claflin University","2009","47"
"217907","Coker College","2009","45"
"217998","Erskine College","2009","69"
"218070","Furman","2009","86"
"218229","Lander University","2009","41"
"218238","Limestone College","2009","39"
"218399","Morris College","2009","30"
"218414","Newberry College","2009","43"
"218539","Presbyterian College","2009","68"
"218645","University of South Carolina-Aiken","2009","34"
"218654","University of South Carolina-Beaufort","2009",
"218742","University of South Carolina-Upstate","2009","40"
"218919","Voorhees College","2009","25"
"218973","Wofford College","2009","82"
"219000","Augustana University","2009","67"
"219091","Dakota Wesleyan University","2009","37"
"219204","National American University-Rapid City","2009","23"
"220181","Fisk University","2009","57"
"220206","Welch College","2009","47"
"220598","Lane College","2009","25"
"220604","Le Moyne-Owen College","2009","16"
"220701","Martin Methodist College","2009","0"
"220710","Maryville College","2009","56"
"221351","Rhodes College","2009","79"
"221519","Sewanee-The University of the South","2009","82"
"221731","Tennessee Wesleyan University","2009","53"
"222983","Austin College","2009","74"
"224527","East Texas Baptist University","2009","42"
"225548","Howard Payne University","2009","41"
"225575","Huston-Tillotson University","2009","29"
"225885","Jarvis Christian College","2009","11"
"226587","McMurry University","2009","39"
"227429","Paul Quinn College","2009","12"
"228042","Schreiner University","2009","42"
"228343","Southwestern University","2009","77"
"228468","Southwestern Adventist University","2009","35"
"228884","Texas College","2009","8"
"228981","Texas Lutheran University","2009","49"
"229887","Wiley College","2009","23"
"230047","Brigham Young University-Hawaii","2009","52"
"230630","Stevens-Henager College","2009","0"
"230816","Bennington College","2009","58"
"230834","Castleton University","2009","44"
"230931","Lyndon State College","2009","32"
"230940","Marlboro College","2009","60"
"230959","Middlebury College","2009","92"
"231059","Saint Michael's College","2009","77"
"231077","College of St Joseph","2009","38"
"231086","Southern Vermont College","2009","36"
"231095","Sterling College","2009","46"
"231420","Averett University","2009","51"
"231554","Bluefield College","2009","39"
"231581","Bridgewater College","2009","57"
"232025","Emory & Henry College","2009","57"
"232089","Ferrum College","2009","36"
"232256","Hampden-Sydney College","2009","66"
"232308","Hollins University","2009","65"
"233295","Randolph-Macon College","2009","63"
"233301","Randolph College","2009","63"
"233374","University of Richmond","2009","86"
"233426","Roanoke College","2009","64"
"233611","Southern Virginia University","2009","31"
"233718","Sweet Briar College","2009","60"
"233897","The University of Virginia's College at Wise","2009","46"
"234085","Virginia Military Institute","2009","73"
"234164","Virginia Union University","2009","35"
"234173","Virginia Wesleyan University","2009","45"
"234207","Washington and Lee University","2009","91"
"236328","University of Puget Sound","2009","78"
"237057","Whitman College","2009","89"
"237118","Alderson Broaddus University","2009","39"
"237181","Bethany College","2009","68"
"237215","Bluefield State College","2009","24"
"237358","Davis & Elkins College","2009","58"
"237385","Glenville State College","2009","28"
"237640","Ohio Valley University","2009","70"
"237792","Shepherd University","2009","44"
"237899","West Virginia State University","2009","24"
"237932","West Liberty University","2009","35"
"237950","West Virginia University Institute of Technology","2009","11"
"238333","Beloit College","2009","84"
"238476","Carthage College","2009","55"
"239017","Lawrence University","2009","76"
"239071","Maranatha Baptist University","2009","48"
"239512","Northland College","2009","60"
"239628","Ripon College","2009","76"
"239716","Saint Norbert College","2009","71"
"240338","Wisconsin Lutheran College","2009","64"
"240374","University of Wisconsin-Parkside","2009","27"
"240426","University of Wisconsin-Superior","2009","41"
"241128","American University of Puerto Rico","2009","28"
"241191","Universidad Adventista de las Antillas","2009","26"
"241386","Caribbean University-Carolina","2009","17"
"241720","Colegio Universitario de San Juan","2009",
"242644","Inter American University of Puerto Rico-Barranquitas","2009","21"
"242680","Inter American University of Puerto Rico-Fajardo","2009","21"
"242699","Inter American University of Puerto Rico-Guayama","2009","21"
"242705","Inter American University of Puerto Rico-Bayamon","2009","17"
"243106","University of Puerto Rico-Aguadilla","2009","33"
"243115","University of Puerto Rico-Arecibo","2009","31"
"243133","University of Puerto Rico-Bayamon","2009","43"
"243142","University of Puerto Rico-Carolina","2009","27"
"243151","University of Puerto Rico-Cayey","2009","42"
"243179","University of Puerto Rico-Humacao","2009","41"
"243212","University of Puerto Rico-Ponce","2009","44"
"243586","Pontifical Catholic University of Puerto Rico-Mayaguez","2009","18"
"243832","EDP University of Puerto Rico Inc-San Juan","2009","10"
"245652","St. John's College","2009","53"
"245847","Antioch University-Santa Barbara","2009",
"262129","New College of Florida","2009","60"
"363916","Caribbean University-Vega Baja","2009","27"
"384254","Beacon College","2009","44"
"385619","Everglades University","2009","60"
"398130","Mt Sierra College","2009","21"
"399911","Soka University of America","2009","93"
"414823","Johnson & Wales University-North Miami","2009","42"
"414878","Trine University-Regional/Non-Traditional Campuses","2009",
"421832","Living Arts College","2009",
"428259","Ottawa University-Milwaukee","2009",
"432241","University of Phoenix-Oregon","2009","22"
"437325","Linfield College-Online and Continuing Education","2009",
"440466","University of Phoenix-Idaho","2009","11"
"441900","Nevada State College","2009","9"
"443410","DigiPen Institute of Technology","2009","59"
"445319","University of Phoenix-Minnesota","2009","0"
"446048","Ave Maria University","2009","52"
"447050","United States University","2009",
"447689","Georgia Gwinnett College","2009",
"449870","University of the West","2009","0"
"450085","The Art Institute of Charleston","2009",
"450298","Strayer University-Delaware","2009",
"451060","Digital Media Arts College","2009","29"
"454184","The King's College","2009","69"
"454582","Ottawa University-Online","2009",
"455770","Providence Christian College","2009",
"456621","Strayer University-West Virginia","2009",
"457484","Pacific Rim Christian University","2009",
"457697","City Vision University","2009",
"458496","The Art Institute of Virginia Beach","2009",
"458973","Strayer University-Texas","2009",
"458982","The Art Institute of San Antonio","2009",
"459268","South University–Virginia Beach","2009",
"459851","Herzing University-Brookfield","2009",
"460783","Remington College-Heathrow Campus","2009",
"461236","Georgia Christian University","2009",
"461795","North American University","2009",
"462044","Institute for Doctoral Studies in the Visual Arts","2009",
"462354","John Paul the Great Catholic University","2009",
"468015","South University-The Art Institute of Fort Worth","2009",
"468024","South University-Novi","2009",
"470092","The Art Institute of Wisconsin","2009",
"475200","Whitworth University-Adult Degree Programs","2009",
"480073","South University-Austin","2009",
"480134","Elizabethtown College School of Continuing and Professional Studies","2009",
"481720","South University-High Point","2009",
"482158","Middle Georgia State University","2009",
"484622","University of Phoenix-Arkansas","2009",
"484701","University of Phoenix-Missouri","2009",
"484783","University of Phoenix-Pennsylvania","2009",
