"unitid","institution name","year","DRVGR2009_RV.Graduation rate - Bachelor degree within 6 years, total"
"100812","Athens State University","2009",
"100937","Birmingham Southern College","2009","72"
"101073","Concordia College Alabama","2009","17"
"101116","South University-Montgomery","2009","50"
"101435","Huntingdon College","2009","46"
"101541","Judson College","2009","37"
"101675","Miles College","2009","21"
"101693","University of Mobile","2009","62"
"101912","Oakwood University","2009","40"
"102234","Spring Hill College","2009","61"
"102270","Stillman College","2009","21"
"102298","Talladega College","2009","22"
"104090","Brookline College-Phoenix","2009","71"
"104586","Embry-Riddle Aeronautical University-Prescott","2009","55"
"105899","Arizona Christian University","2009","43"
"106342","Lyon College","2009","46"
"106412","University of Arkansas at Pine Bluff","2009","25"
"106713","Central Baptist College","2009","25"
"107080","Hendrix College","2009","66"
"107512","Ouachita Baptist University","2009","55"
"107558","University of the Ozarks","2009","42"
"107600","Philander Smith College","2009","21"
"107877","Williams Baptist College","2009","57"
"108092","University of Arkansas-Fort Smith","2009","23"
"111188","California State University Maritime Academy","2009","69"
"112084","San Diego Christian College","2009","44"
"112260","Claremont McKenna College","2009","93"
"112394","Cogswell College","2009","35"
"115409","Harvey Mudd College","2009","91"
"115773","Humphreys University-Stockton and Modesto Campuses","2009","0"
"116846","American Jewish University","2009","28"
"118541","Marymount California University","2009",
"120254","Occidental College","2009","85"
"120865","Pacific Union College","2009","62"
"121257","Pitzer College","2009","81"
"121345","Pomona College","2009","95"
"122728","William Jessup University","2009","29"
"123165","Scripps College","2009","86"
"124292","Thomas Aquinas College","2009","82"
"125727","Westmont College","2009","80"
"125763","Whittier College","2009","61"
"126678","Colorado College","2009","83"
"127185","Fort Lewis College","2009","34"
"127556","Colorado Mesa University","2009","26"
"127680","National American University-Colorado Springs","2009","0"
"128328","United States Air Force Academy","2009","78"
"128780","Charter Oak State College","2009",
"128902","Connecticut College","2009","85"
"129774","Mitchell College","2009","24"
"130590","Trinity College","2009","86"
"130624","United States Coast Guard Academy","2009","83"
"130697","Wesleyan University","2009","93"
"131098","Wesley College","2009","38"
"132602","Bethune-Cookman University","2009","36"
"133492","Eckerd College","2009","65"
"133526","Edward Waters College","2009","12"
"133711","Flagler College-St Augustine","2009","52"
"133979","Florida Memorial University","2009","37"
"135610","Trinity International University-Florida","2009",
"138275","Warner University","2009","41"
"138293","Webber International University","2009","32"
"138600","Agnes Scott College","2009","67"
"138868","Point University","2009","30"
"139205","Brewton-Parker College","2009","27"
"139393","Covenant College","2009","58"
"139630","Emmanuel College","2009","41"
"140234","LaGrange College","2009","52"
"140340","Herzing University-Atlanta","2009","19"
"140553","Morehouse College","2009","60"
"140696","Oglethorpe University","2009","54"
"140720","Paine College","2009","28"
"140872","Reinhardt University","2009","38"
"140988","Shorter University","2009","54"
"141060","Spelman College","2009","83"
"141185","Toccoa Falls College","2009","62"
"141237","Truett McConnell University","2009","5"
"141325","Wesleyan College","2009","41"
"141361","Young Harris College","2009",
"141981","University of Hawaii-West Oahu","2009",
"142294","The College of Idaho","2009","61"
"142328","Lewis-Clark State College","2009","22"
"142522","Brigham Young University-Idaho","2009","51"
"143084","Augustana College","2009","78"
"143288","Blackburn College","2009","38"
"144883","East-West University","2009","14"
"144971","Eureka College","2009","29"
"145646","Illinois Wesleyan University","2009","86"
"145691","Illinois College","2009","60"
"146393","Kendall College","2009","41"
"146427","Knox College","2009","73"
"146481","Lake Forest College","2009","67"
"146825","MacMurray College","2009","70"
"147244","Millikin University","2009","63"
"147341","Monmouth College","2009","64"
"148016","Principia College","2009","82"
"149505","Trinity Christian College","2009","57"
"149781","Wheaton College","2009","88"
"150400","DePauw University","2009","83"
"150455","Earlham College","2009","72"
"150604","Franklin College","2009","55"
"150668","Goshen College","2009","70"
"150756","Hanover College","2009","63"
"150774","Holy Cross College","2009","12"
"150941","Huntington University","2009","58"
"151333","Indiana University-Kokomo","2009","26"
"151777","Manchester University","2009","48"
"151810","Martin University","2009","21"
"152099","Oakland City University","2009","56"
"152266","Purdue University-North Central Campus","2009","18"
"152363","Saint Josephs College","2009","58"
"152381","Saint Mary-of-the-Woods College","2009","60"
"152390","Saint Mary's College","2009","79"
"152530","Taylor University","2009","77"
"152567","Trine University","2009","50"
"152673","Wabash College","2009","67"
"152992","Briar Cliff University","2009","47"
"153001","Buena Vista University","2009","59"
"153108","Central College","2009","63"
"153126","Clarke University","2009","65"
"153144","Coe College","2009","70"
"153162","Cornell College","2009","71"
"153250","Dordt College","2009","57"
"153375","Grand View University","2009","48"
"153384","Grinnell College","2009","84"
"153621","Iowa Wesleyan University","2009","28"
"153825","Loras College","2009","69"
"153834","Luther College","2009","76"
"154101","Northwestern College","2009","60"
"154350","Simpson College","2009","65"
"154518","Waldorf University","2009","49"
"154527","Wartburg College","2009","69"
"154712","Benedictine College","2009","53"
"154721","Bethany College","2009","32"
"154749","Bethel College-North Newton","2009","69"
"154855","Central Christian College of Kansas","2009","32"
"155414","Kansas Wesleyan University","2009","36"
"155511","McPherson College","2009","49"
"155627","Ottawa University-Ottawa","2009","32"
"155636","Ottawa University-Kansas City","2009",
"155937","Sterling College","2009","41"
"155973","Tabor College","2009","64"
"156189","Alice Lloyd College","2009","36"
"156295","Berea College","2009","65"
"156356","Brescia University","2009","45"
"156408","Centre College","2009","81"
"156745","Georgetown College","2009","61"
"157058","Kentucky State University","2009","23"
"157076","Kentucky Wesleyan College","2009","52"
"157100","Kentucky Christian University","2009","42"
"157535","University of Pikeville","2009","37"
"157818","Transylvania University","2009","75"
"158477","Centenary College of Louisiana","2009","62"
"158802","Dillard University","2009","28"
"159382","Louisiana State University-Alexandria","2009","12"
"160065","University of Holy Cross","2009","29"
"160959","College of the Atlantic","2009","61"
"160977","Bates College","2009","91"
"161004","Bowdoin College","2009","94"
"161086","Colby College","2009","88"
"161217","University of Maine at Augusta","2009","17"
"161226","University of Maine at Farmington","2009","62"
"161235","University of Maine at Fort Kent","2009","37"
"161244","University of Maine at Machias","2009","39"
"161299","Maine Maritime Academy","2009","67"
"161341","University of Maine at Presque Isle","2009","32"
"161572","Unity College","2009","54"
