"unitid","institution name","year","EF2016A.Level of student","EF2016A.Grand total","EF2016A.Grand total women","EF2016A.Asian total","EF2016A.Black or African American total","EF2016A.Hispanic total","IDX_EF"
"100812","Athens State University","2016","All students, Undergraduate total","3025","1992","23","398","71","-2"
"100937","Birmingham Southern College","2016","All students, Undergraduate total","1293","658","63","151","28","-2"
"101073","Concordia College Alabama","2016","All students, Undergraduate total","340","166","0","315","1","-2"
"101116","South University-Montgomery","2016","All students, Undergraduate total","394","294","4","254","8","-2"
"101435","Huntingdon College","2016","All students, Undergraduate total","1148","561","4","243","46","-2"
"101541","Judson College","2016","All students, Undergraduate total","327","321","7","62","4","-2"
"101675","Miles College","2016","All students, Undergraduate total","1820","904","2","1751","10","-2"
"101693","University of Mobile","2016","All students, Undergraduate total","1376","868","11","268","26","-2"
"101912","Oakwood University","2016","All students, Undergraduate total","1740","1021","3","1497","56","-2"
"102234","Spring Hill College","2016","All students, Undergraduate total","1381","875","19","202","44","-2"
"102270","Stillman College","2016","All students, Undergraduate total","628","356","1","597","5","-2"
"102298","Talladega College","2016","All students, Undergraduate total","675","323","0","575","32","-2"
"104090","Brookline College-Phoenix","2016","All students, Undergraduate total","1101","887","50","201","333","-2"
"104586","Embry-Riddle Aeronautical University-Prescott","2016","All students, Undergraduate total","2377","584","130","51","90","-2"
"105899","Arizona Christian University","2016","All students, Undergraduate total","820","345","11","104","148","-2"
"106342","Lyon College","2016","All students, Undergraduate total","707","330","14","41","51","-2"
"106412","University of Arkansas at Pine Bluff","2016","All students, Undergraduate total","2721","1602","9","2485","51","-2"
"106713","Central Baptist College","2016","All students, Undergraduate total","827","386","1","159","21","-2"
"107080","Hendrix College","2016","All students, Undergraduate total","1321","694","63","78","62","-2"
"107512","Ouachita Baptist University","2016","All students, Undergraduate total","1493","795","13","119","63","-2"
"107558","University of the Ozarks","2016","All students, Undergraduate total","686","347","2","44","73","-2"
"107600","Philander Smith College","2016","All students, Undergraduate total","765","471","3","705","11","-2"
"107877","Williams Baptist College","2016","All students, Undergraduate total","469","233","0","40","14","-2"
"108092","University of Arkansas-Fort Smith","2016","All students, Undergraduate total","6569","3641","325","246","748","-2"
"111188","California State University Maritime Academy","2016","All students, Undergraduate total","1107","186","107","23","209","-2"
"112084","San Diego Christian College","2016","All students, Undergraduate total","695","369","15","71","181","-2"
"112260","Claremont McKenna College","2016","All students, Undergraduate total","1347","658","140","61","190","-2"
"112394","Cogswell College","2016","All students, Undergraduate total","650","191","132","29","135","-2"
"115409","Harvey Mudd College","2016","All students, Undergraduate total","842","385","163","25","132","-2"
"115773","Humphreys University-Stockton and Modesto Campuses","2016","All students, Undergraduate total","392","293","61","42","169","-2"
"116846","American Jewish University","2016","All students, Undergraduate total","65","35","1","1","0","-2"
"118541","Marymount California University","2016","All students, Undergraduate total","942","474","46","73","372","-2"
"120254","Occidental College","2016","All students, Undergraduate total","1969","1106","277","107","288","-2"
"120865","Pacific Union College","2016","All students, Undergraduate total","1435","876","250","126","341","-2"
"121257","Pitzer College","2016","All students, Undergraduate total","1062","584","94","57","162","-2"
"121345","Pomona College","2016","All students, Undergraduate total","1563","782","224","125","241","-2"
"122728","William Jessup University","2016","All students, Undergraduate total","1165","704","46","76","222","-2"
"123165","Scripps College","2016","All students, Undergraduate total","1039","1035","157","42","117","-2"
"124292","Thomas Aquinas College","2016","All students, Undergraduate total","386","190","8","1","60","-2"
"125727","Westmont College","2016","All students, Undergraduate total","1277","777","115","23","209","-2"
"125763","Whittier College","2016","All students, Undergraduate total","1614","924","120","63","759","-2"
"126678","Colorado College","2016","All students, Undergraduate total","2101","1140","87","56","188","-2"
"127185","Fort Lewis College","2016","All students, Undergraduate total","3590","1798","21","36","390","-2"
"127556","Colorado Mesa University","2016","All students, Undergraduate total","9595","5159","154","217","1767","-2"
"127680","National American University-Colorado Springs","2016","All students, Undergraduate total","195","111","7","40","32","-2"
"128328","United States Air Force Academy","2016","All students, Undergraduate total","4237","1059","206","247","458","-2"
"128780","Charter Oak State College","2016","All students, Undergraduate total","1533","1035","21","252","221","-2"
"128902","Connecticut College","2016","All students, Undergraduate total","1865","1170","83","70","163","-2"
"129774","Mitchell College","2016","All students, Undergraduate total","677","295","8","88","71","-2"
"130590","Trinity College","2016","All students, Undergraduate total","2259","1098","89","136","169","-2"
"130624","United States Coast Guard Academy","2016","All students, Undergraduate total","986","353","62","55","85","-2"
"130697","Wesleyan University","2016","All students, Undergraduate total","2971","1604","213","211","305","-2"
"131098","Wesley College","2016","All students, Undergraduate total","1384","761","17","583","86","-2"
"132602","Bethune-Cookman University","2016","All students, Undergraduate total","3796","2287","1","2974","109","-2"
"133492","Eckerd College","2016","All students, Undergraduate total","2046","1317","37","99","162","-2"
"133526","Edward Waters College","2016","All students, Undergraduate total","3062","1665","107","1757","204","-2"
"133711","Flagler College-St Augustine","2016","All students, Undergraduate total","2614","1645","28","99","123","-2"
"133979","Florida Memorial University","2016","All students, Undergraduate total","1280","805","0","926","76","-2"
"135610","Trinity International University-Florida","2016","All students, Undergraduate total","179","99","1","61","85","-2"
"138275","Warner University","2016","All students, Undergraduate total","947","440","17","336","130","-2"
"138293","Webber International University","2016","All students, Undergraduate total","662","202","1","170","92","-2"
"138600","Agnes Scott College","2016","All students, Undergraduate total","927","919","71","266","94","-2"
"138868","Point University","2016","All students, Undergraduate total","1954","1043","12","581","93","-2"
"139205","Brewton-Parker College","2016","All students, Undergraduate total","603","313","3","125","36","-2"
"139393","Covenant College","2016","All students, Undergraduate total","1005","548","14","27","33","-2"
"139630","Emmanuel College","2016","All students, Undergraduate total","920","442","8","117","55","-2"
"140234","LaGrange College","2016","All students, Undergraduate total","906","444","12","204","12","-2"
"140340","Herzing University-Atlanta","2016","All students, Undergraduate total","604","423","50","427","22","-2"
"140553","Morehouse College","2016","All students, Undergraduate total","2108","0","3","1995","18","-2"
"140696","Oglethorpe University","2016","All students, Undergraduate total","1184","672","44","244","119","-2"
"140720","Paine College","2016","All students, Undergraduate total","502","290","1","386","11","-2"
"140872","Reinhardt University","2016","All students, Undergraduate total","1374","630","13","300","94","-2"
"140988","Shorter University","2016","All students, Undergraduate total","1419","778","6","370","69","-2"
"141060","Spelman College","2016","All students, Undergraduate total","2125","2125","2","2049","4","-2"
"141185","Toccoa Falls College","2016","All students, Undergraduate total","1252","710","100","96","46","-2"
"141237","Truett McConnell University","2016","All students, Undergraduate total","2152","1195","39","135","75","-2"
"141325","Wesleyan College","2016","All students, Undergraduate total","630","616","17","165","34","-2"
"141361","Young Harris College","2016","All students, Undergraduate total","1200","675","10","76","42","-2"
"141981","University of Hawaii-West Oahu","2016","All students, Undergraduate total","2939","1918","1037","64","356","-2"
