"unitid","institution name","year","EF2010A.Level of student","EF2010A.Grand total","EF2010A.Grand total women","EF2010A.Asian total","EF2010A.Black or African American total","EF2010A.Hispanic total","IDX_EF"
"138275","Warner University","2010","All students, Undergraduate total","950","532","19","256","117","-2"
"138293","Webber International University","2010","All students, Undergraduate total","680","242","6","160","56","-2"
"138600","Agnes Scott College","2010","All students, Undergraduate total","892","881","26","238","51","-2"
"138868","Point University","2010","All students, Undergraduate total","1023","621","5","641","40","-2"
"139205","Brewton-Parker College","2010","All students, Undergraduate total","778","425","4","194","37","-2"
"139393","Covenant College","2010","All students, Undergraduate total","1241","685","18","57","24","-2"
"139630","Emmanuel College","2010","All students, Undergraduate total","762","385","1","163","36","-2"
"140234","LaGrange College","2010","All students, Undergraduate total","839","484","10","189","24","-2"
"140340","Herzing University-Atlanta","2010","All students, Undergraduate total","630","413","26","497","14","-2"
"140553","Morehouse College","2010","All students, Undergraduate total","2586","0","2","2438","11","-2"
"140696","Oglethorpe University","2010","All students, Undergraduate total","1083","648","37","259","59","-2"
"140720","Paine College","2010","All students, Undergraduate total","925","591","1","884","6","-2"
"140872","Reinhardt University","2010","All students, Undergraduate total","1102","631","12","129","37","-2"
"140988","Shorter University","2010","All students, Undergraduate total","1542","784","13","221","51","-2"
"141060","Spelman College","2010","All students, Undergraduate total","2177","2177","3","1915","3","-2"
"141185","Toccoa Falls College","2010","All students, Undergraduate total","768","409","70","35","18","-2"
"141237","Truett McConnell University","2010","All students, Undergraduate total","755","378","11","53","14","-2"
"141325","Wesleyan College","2010","All students, Undergraduate total","630","616","11","230","25","-2"
"141361","Young Harris College","2010","All students, Undergraduate total","820","465","5","49","55","-2"
"141981","University of Hawaii-West Oahu","2010","All students, Undergraduate total","1471","1044","571","27","138","-2"
"142294","The College of Idaho","2010","All students, Undergraduate total","1034","601","19","7","46","-2"
"142328","Lewis-Clark State College","2010","All students, Undergraduate total","4543","2737","34","26","226","-2"
"142522","Brigham Young University-Idaho","2010","All students, Undergraduate total","14933","8645","188","62","783","-2"
"143084","Augustana College","2010","All students, Undergraduate total","2532","1461","48","61","89","-2"
"143288","Blackburn College","2010","All students, Undergraduate total","598","357","1","55","5","-2"
"144883","East-West University","2010","All students, Undergraduate total","936","528","39","581","152","-2"
"144971","Eureka College","2010","All students, Undergraduate total","782","445","5","25","17","-2"
"145646","Illinois Wesleyan University","2010","All students, Undergraduate total","2094","1214","92","108","73","-2"
"145691","Illinois College","2010","All students, Undergraduate total","878","433","2","52","32","-2"
"146393","Kendall College","2010","All students, Undergraduate total","2545","1885","100","501","315","-2"
"146427","Knox College","2010","All students, Undergraduate total","1392","822","70","67","87","-2"
"146481","Lake Forest College","2010","All students, Undergraduate total","1426","860","53","88","134","-2"
"146825","MacMurray College","2010","All students, Undergraduate total","528","330","3","62","14","-2"
"147244","Millikin University","2010","All students, Undergraduate total","2295","1404","15","242","109","-2"
"147341","Monmouth College","2010","All students, Undergraduate total","1375","718","4","132","82","-2"
"148016","Principia College","2010","All students, Undergraduate total","532","279","1","6","16","-2"
"149505","Trinity Christian College","2010","All students, Undergraduate total","1491","968","19","138","106","-2"
"149781","Wheaton College","2010","All students, Undergraduate total","2434","1240","186","70","94","-2"
"150400","DePauw University","2010","All students, Undergraduate total","2390","1362","72","170","84","-2"
"150455","Earlham College","2010","All students, Undergraduate total","1184","654","27","93","40","-2"
"150604","Franklin College","2010","All students, Undergraduate total","1106","568","6","56","6","-2"
"150668","Goshen College","2010","All students, Undergraduate total","885","527","10","29","70","-2"
"150756","Hanover College","2010","All students, Undergraduate total","1006","566","9","36","20","-2"
"150774","Holy Cross College","2010","All students, Undergraduate total","451","155","3","25","39","-2"
"150941","Huntington University","2010","All students, Undergraduate total","1170","638","3","12","25","-2"
"151333","Indiana University-Kokomo","2010","All students, Undergraduate total","2978","1954","39","151","86","-2"
"151777","Manchester University","2010","All students, Undergraduate total","1280","667","6","40","39","-2"
"151810","Martin University","2010","All students, Undergraduate total","909","586","0","851","4","-2"
"152099","Oakland City University","2010","All students, Undergraduate total","2726","1570","10","147","68","-2"
"152266","Purdue University-North Central Campus","2010","All students, Undergraduate total","4542","2562","35","240","272","-2"
"152363","Saint Josephs College","2010","All students, Undergraduate total","1033","599","9","106","48","-2"
"152381","Saint Mary-of-the-Woods College","2010","All students, Undergraduate total","1367","1296","9","56","24","-2"
"152390","Saint Mary's College","2010","All students, Undergraduate total","1555","1552","27","25","124","-2"
"152530","Taylor University","2010","All students, Undergraduate total","2444","1394","66","50","55","-2"
"152567","Trine University","2010","All students, Undergraduate total","1779","627","15","81","35","-2"
"152673","Wabash College","2010","All students, Undergraduate total","872","0","14","47","45","-2"
"152992","Briar Cliff University","2010","All students, Undergraduate total","1067","595","21","66","102","-2"
"153001","Buena Vista University","2010","All students, Undergraduate total","2612","1689","21","67","101","-2"
"153108","Central College","2010","All students, Undergraduate total","1648","881","22","39","47","-2"
"153126","Clarke University","2010","All students, Undergraduate total","993","647","9","17","27","-2"
"153144","Coe College","2010","All students, Undergraduate total","1345","716","21","37","26","-2"
"153162","Cornell College","2010","All students, Undergraduate total","1191","639","32","53","75","-2"
"153250","Dordt College","2010","All students, Undergraduate total","1360","663","7","11","14","-2"
"153375","Grand View University","2010","All students, Undergraduate total","2076","1236","42","152","64","-2"
"153384","Grinnell College","2010","All students, Undergraduate total","1655","898","95","84","120","-2"
"153621","Iowa Wesleyan University","2010","All students, Undergraduate total","771","452","3","78","48","-2"
"153825","Loras College","2010","All students, Undergraduate total","1516","745","10","21","63","-2"
"153834","Luther College","2010","All students, Undergraduate total","2481","1416","39","36","70","-2"
"154101","Northwestern College","2010","All students, Undergraduate total","1243","733","8","20","45","-2"
"154350","Simpson College","2010","All students, Undergraduate total","1979","1107","25","37","30","-2"
"154518","Waldorf University","2010","All students, Undergraduate total","643","246","5","106","45","-2"
"154527","Wartburg College","2010","All students, Undergraduate total","1775","941","15","102","34","-2"
"154712","Benedictine College","2010","All students, Undergraduate total","1839","1023","17","52","114","-2"
"154721","Bethany College","2010","All students, Undergraduate total","610","302","6","52","36","-2"
"154749","Bethel College-North Newton","2010","All students, Undergraduate total","476","231","3","25","31","-2"
"154855","Central Christian College of Kansas","2010","All students, Undergraduate total","518","248","3","51","17","-2"
"155414","Kansas Wesleyan University","2010","All students, Undergraduate total","773","425","14","88","70","-2"
"155511","McPherson College","2010","All students, Undergraduate total","707","301","7","63","49","-2"
"155627","Ottawa University-Ottawa","2010","All students, Undergraduate total","558","246","3","80","29","-2"
"155636","Ottawa University-Kansas City","2010","All students, Undergraduate total","286","203","5","20","6","-2"
"155937","Sterling College","2010","All students, Undergraduate total","736","342","11","58","52","-2"
"155973","Tabor College","2010","All students, Undergraduate total","646","306","6","57","59","-2"
"156189","Alice Lloyd College","2010","All students, Undergraduate total","598","309","1","11","3","-2"
"156295","Berea College","2010","All students, Undergraduate total","1613","942","14","225","26","-2"
"156356","Brescia University","2010","All students, Undergraduate total","645","388","1","53","15","-2"
"156408","Centre College","2010","All students, Undergraduate total","1242","665","32","49","36","-2"
"156745","Georgetown College","2010","All students, Undergraduate total","1284","709","3","107","20","-2"
"157058","Kentucky State University","2010","All students, Undergraduate total","2606","1556","3","1531","28","-2"
"157076","Kentucky Wesleyan College","2010","All students, Undergraduate total","802","387","4","82","8","-2"
"157100","Kentucky Christian University","2010","All students, Undergraduate total","606","327","1","49","6","-2"
"157535","University of Pikeville","2010","All students, Undergraduate total","1022","468","4","109","12","-2"
"157818","Transylvania University","2010","All students, Undergraduate total","1110","663","7","44","16","-2"
"158477","Centenary College of Louisiana","2010","All students, Undergraduate total","800","456","27","91","39","-2"
"158802","Dillard University","2010","All students, Undergraduate total","1187","850","1","1086","7","-2"
"159382","Louisiana State University-Alexandria","2010","All students, Undergraduate total","2667","1912","28","489","55","-2"
"160065","University of Holy Cross","2010","All students, Undergraduate total","997","817","36","233","60","-2"
"160959","College of the Atlantic","2010","All students, Undergraduate total","364","253","3","3","3","-2"
"160977","Bates College","2010","All students, Undergraduate total","1725","929","115","110","70","-2"
"161004","Bowdoin College","2010","All students, Undergraduate total","1762","892","128","89","211","-2"
"161086","Colby College","2010","All students, Undergraduate total","1825","985","122","64","67","-2"
"161217","University of Maine at Augusta","2010","All students, Undergraduate total","5631","4041","21","48","66","-2"
"161226","University of Maine at Farmington","2010","All students, Undergraduate total","2386","1551","12","19","27","-2"
"161235","University of Maine at Fort Kent","2010","All students, Undergraduate total","1073","723","4","16","8","-2"
"161244","University of Maine at Machias","2010","All students, Undergraduate total","951","657","4","18","8","-2"
"161299","Maine Maritime Academy","2010","All students, Undergraduate total","933","152","6","7","6","-2"
"161341","University of Maine at Presque Isle","2010","All students, Undergraduate total","1434","904","5","18","17","-2"
"161572","Unity College","2010","All students, Undergraduate total","584","304","4","5","13","-2"
"162654","Goucher College","2010","All students, Undergraduate total","1479","1015","28","106","82","-2"
"163912","St Mary's College of Maryland","2010","All students, Undergraduate total","1982","1163","54","149","63","-2"
"163921","Sojourner-Douglass College","2010","All students, Undergraduate total","1335","1187","0","1264","3","-2"
"163976","St. John's College","2010","All students, Undergraduate total","463","215","5","2","20","-2"
"164155","United States Naval Academy","2010","All students, Undergraduate total","4603","928","177","266","575","-2"
"164216","Washington College","2010","All students, Undergraduate total","1418","823","29","66","31","-2"
"164270","McDaniel College","2010","All students, Undergraduate total","1597","838","52","113","59","-2"
"164465","Amherst College","2010","All students, Undergraduate total","1794","909","183","203","198","-2"
"164720","Becker College","2010","All students, Undergraduate total","1793","1201","14","86","77","-2"
"165671","Emmanuel College","2010","All students, Undergraduate total","2262","1713","68","171","132","-2"
"165936","Gordon College","2010","All students, Undergraduate total","1514","928","27","33","57","-2"
"166018","Hampshire College","2010","All students, Undergraduate total","1529","917","49","44","120","-2"
"166124","College of the Holy Cross","2010","All students, Undergraduate total","2899","1567","157","133","251","-2"
"166939","Mount Holyoke College","2010","All students, Undergraduate total","2332","2329","151","100","165","-2"
"166948","Mount Ida College","2010","All students, Undergraduate total","1461","968","34","215","117","-2"
"167251","Newbury College","2010","All students, Undergraduate total","1018","610","65","276","140","-2"
"167288","Massachusetts College of Liberal Arts","2010","All students, Undergraduate total","1721","1029","16","115","100","-2"
"167455","Pine Manor College","2010","All students, Undergraduate total","450","450","19","207","84","-2"
"167792","Bard College at Simon's Rock","2010","All students, Undergraduate total","380","245","17","30","16","-2"
"167835","Smith College","2010","All students, Undergraduate total","2588","2587","289","135","188","-2"
"167996","Stonehill College","2010","All students, Undergraduate total","2582","1589","31","71","79","-2"
"168218","Wellesley College","2010","All students, Undergraduate total","2546","2487","547","153","221","-2"
"168281","Wheaton College","2010","All students, Undergraduate total","1635","1045","37","88","87","-2"
"168342","Williams College","2010","All students, Undergraduate total","2048","1058","215","151","207","-2"
"168528","Adrian College","2010","All students, Undergraduate total","1670","811","6","98","30","-2"
"168546","Albion College","2010","All students, Undergraduate total","1602","831","33","49","43","-2"
"168591","Alma College","2010","All students, Undergraduate total","1422","808","19","28","49","-2"
"169080","Calvin College","2010","All students, Undergraduate total","3921","2085","145","102","87","-2"
"169363","Concordia University-Ann Arbor","2010","All students, Undergraduate total","450","228","4","52","8","-2"
"170301","Hope College","2010","All students, Undergraduate total","3202","1935","80","85","126","-2"
"170532","Kalamazoo College","2010","All students, Undergraduate total","1369","776","67","57","79","-2"
"170639","Lake Superior State University","2010","All students, Undergraduate total","2588","1327","14","27","35","-2"
"170967","Rochester College","2010","All students, Undergraduate total","1039","620","31","181","25","-2"
"171599","Olivet College","2010","All students, Undergraduate total","1124","516","1","110","44","-2"
"171881","Kuyper College","2010","All students, Undergraduate total","342","186","7","10","5","-2"
"172440","Finlandia University","2010","All students, Undergraduate total","614","378","4","23","8","-2"
"173142","Bethany Lutheran College","2010","All students, Undergraduate total","607","338","8","11","12","-2"
"173258","Carleton College","2010","All students, Undergraduate total","2020","1042","118","69","128","-2"
"173300","Concordia College at Moorhead","2010","All students, Undergraduate total","2784","1690","36","38","28","-2"
"173647","Gustavus Adolphus College","2010","All students, Undergraduate total","2455","1403","132","77","42","-2"
"173902","Macalester College","2010","All students, Undergraduate total","2033","1184","132","72","117","-2"
"174075","University of Minnesota-Crookston","2010","All students, Undergraduate total","2528","1299","30","78","39","-2"
"174251","University of Minnesota-Morris","2010","All students, Undergraduate total","1811","1017","49","35","41","-2"
"174394","Sanford-Brown College-Mendota Heights","2010","All students, Undergraduate total","1081","409","50","116","42","-2"
"174437","North Central University","2010","All students, Undergraduate total","1381","772","16","51","58","-2"
"174747","College of Saint Benedict","2010","All students, Undergraduate total","2082","2082","84","18","55","-2"
"174792","Saint Johns University","2010","All students, Undergraduate total","1932","0","58","41","46","-2"
"174844","St Olaf College","2010","All students, Undergraduate total","3156","1724","151","63","77","-2"
"174862","Crown College","2010","All students, Undergraduate total","1011","580","80","29","27","-2"
"175430","Blue Mountain College","2010","All students, Undergraduate total","537","328","1","67","8","-2"
"175980","Millsaps College","2010","All students, Undergraduate total","965","489","47","85","26","-2"
"176318","Rust College","2010","All students, Undergraduate total","960","581","4","883","2","-2"
"176406","Tougaloo College","2010","All students, Undergraduate total","918","581","3","897","2","-2"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2010","All students, Undergraduate total","1176","595","9","84","22","-2"
"177144","Culver-Stockton College","2010","All students, Undergraduate total","771","435","3","77","37","-2"
"177542","Hannibal-LaGrange University","2010","All students, Undergraduate total","1176","763","5","28","18","-2"
"177551","Harris-Stowe State University","2010","All students, Undergraduate total","1716","1147","2","1440","16","-2"
"178341","Missouri Southern State University","2010","All students, Undergraduate total","5751","3334","71","223","154","-2"
"178369","Missouri Valley College","2010","All students, Undergraduate total","1790","837","8","302","114","-2"
"178387","Missouri Western State University","2010","All students, Undergraduate total","5973","3366","35","554","94","-2"
"178697","College of the Ozarks","2010","All students, Undergraduate total","1380","788","6","8","35","-2"
"179946","Westminster College","2010","All students, Undergraduate total","1167","520","15","88","29","-2"
"179955","William Jewell College","2010","All students, Undergraduate total","1060","634","15","36","40","-2"
"180106","Carroll College","2010","All students, Undergraduate total","1477","879","14","7","23","-2"
"180258","University of Providence","2010","All students, Undergraduate total","885","557","4","20","55","-2"
"180416","Montana Tech of the University of Montana","2010","All students, Undergraduate total","2153","796","21","8","36","-2"
"180522","Montana State University-Northern","2010","All students, Undergraduate total","1232","593","16","19","21","-2"
"180595","Rocky Mountain College","2010","All students, Undergraduate total","923","458","8","16","26","-2"
"180692","The University of Montana-Western","2010","All students, Undergraduate total","1365","771","3","18","15","-2"
"181020","Doane University-Arts & Sciences","2010","All students, Undergraduate total","1045","531","10","31","54","-2"
"181093","Grace University","2010","All students, Undergraduate total","383","222","6","18","16","-2"
"181127","Hastings College","2010","All students, Undergraduate total","1147","555","9","39","52","-2"
"181330","Midland University","2010","All students, Undergraduate total","1093","570","9","83","48","-2"
"181738","Union College","2010","All students, Undergraduate total","829","487","19","41","91","-2"
"181853","York College","2010","All students, Undergraduate total","478","212","11","48","37","-2"
"182634","Colby-Sawyer College","2010","All students, Undergraduate total","1164","789","10","45","21","-2"
"183071","University of New Hampshire at Manchester","2010","All students, Undergraduate total","996","511","17","17","33","-2"
"183239","Saint Anselm College","2010","All students, Undergraduate total","1896","1062","21","26","45","-2"
"183257","Granite State College","2010","All students, Undergraduate total","1590","1134","6","19","25","-2"
"183275","Thomas More College of Liberal Arts","2010","All students, Undergraduate total","77","33","2","1","3","-2"
"183822","Bloomfield College","2010","All students, Undergraduate total","2169","1394","67","1165","382","-2"
"184348","Drew University","2010","All students, Undergraduate total","1787","1057","83","162","234","-2"
"189088","Bard College","2010","All students, Undergraduate total","1968","1131","51","59","49","-2"
"189097","Barnard College","2010","All students, Undergraduate total","2390","2390","391","103","218","-2"
"189848","Cazenovia College","2010","All students, Undergraduate total","1092","810","6","53","30","-2"
"190099","Colgate University","2010","All students, Undergraduate total","2884","1535","104","120","207","-2"
"190248","Concordia College-New York","2010","All students, Undergraduate total","759","483","10","125","120","-2"
"190372","Cooper Union for the Advancement of Science and Art","2010","All students, Undergraduate total","914","354","159","52","78","-2"
"190646","CUNY Medgar Evers College","2010","All students, Undergraduate total","6920","5163","116","5900","458","-2"
"190655","CUNY New York City College of Technology","2010","All students, Undergraduate total","15366","7181","2413","5678","4141","-2"
"190691","CUNY York College","2010","All students, Undergraduate total","7784","5079","1316","3746","1574","-2"
"190983","Elmira College","2010","All students, Undergraduate total","1619","1205","17","46","28","-2"
"191205","Five Towns College","2010","All students, Undergraduate total","1248","385","27","264","164","-2"
"191515","Hamilton College","2010","All students, Undergraduate total","1861","995","140","73","92","-2"
"191533","Hartwick College","2010","All students, Undergraduate total","1531","896","29","69","65","-2"
"191621","Hilbert College","2010","All students, Undergraduate total","1056","605","6","90","21","-2"
"191630","Hobart William Smith Colleges","2010","All students, Undergraduate total","2165","1197","44","80","76","-2"
"191676","Houghton College","2010","All students, Undergraduate total","1256","811","14","34","19","-2"
"192864","Marymount Manhattan College","2010","All students, Undergraduate total","2095","1581","84","266","280","-2"
"194392","Paul Smiths College of Arts and Science","2010","All students, Undergraduate total","1007","342","7","24","27","-2"
"195173","St Francis College","2010","All students, Undergraduate total","2590","1393","89","460","442","-2"
"195216","St Lawrence University","2010","All students, Undergraduate total","2327","1269","33","70","86","-2"
"195304","Sarah Lawrence College","2010","All students, Undergraduate total","1328","946","64","46","103","-2"
"195474","Siena College","2010","All students, Undergraduate total","3390","1821","85","85","148","-2"
"195526","Skidmore College","2010","All students, Undergraduate total","2734","1687","151","90","184","-2"
"196042","Farmingdale State College","2010","All students, Undergraduate total","6858","2841","405","764","850","-2"
"196219","SUNY at Purchase College","2010","All students, Undergraduate total","4044","2297","87","216","452","-2"
"196866","Union College","2010","All students, Undergraduate total","2197","1071","135","111","115","-2"
"197027","United States Merchant Marine Academy","2010","All students, Undergraduate total","980","118","30","24","46","-2"
"197036","United States Military Academy","2010","All students, Undergraduate total","4686","731","256","288","409","-2"
"197133","Vassar College","2010","All students, Undergraduate total","2446","1413","225","126","221","-2"
"197230","Wells College","2010","All students, Undergraduate total","559","398","9","37","36","-2"
"197911","Barton College","2010","All students, Undergraduate total","1163","841","12","313","25","-2"
"197984","Belmont Abbey College","2010","All students, Undergraduate total","1734","1049","25","492","63","-2"
"197993","Bennett College","2010","All students, Undergraduate total","780","780","0","729","15","-2"
"198066","Brevard College","2010","All students, Undergraduate total","638","269","2","69","6","-2"
"198215","Catawba College","2010","All students, Undergraduate total","1293","698","6","263","27","-2"
"198303","Chowan University","2010","All students, Undergraduate total","1173","588","2","690","30","-2"
"198385","Davidson College","2010","All students, Undergraduate total","1742","869","79","113","85","-2"
"198598","Greensboro College","2010","All students, Undergraduate total","1162","628","7","242","53","-2"
"198613","Guilford College","2010","All students, Undergraduate total","2828","1715","62","735","127","-2"
"198695","High Point University","2010","All students, Undergraduate total","3733","2254","47","340","87","-2"
"198756","Johnson C Smith University","2010","All students, Undergraduate total","1331","786","0","1259","5","-2"
"198808","Lees-McRae College","2010","All students, Undergraduate total","894","541","2","54","12","-2"
"198862","Livingstone College","2010","All students, Undergraduate total","1156","511","0","1132","5","-2"
"198899","Mars Hill University","2010","All students, Undergraduate total","1175","599","8","173","30","-2"
"198950","Meredith College","2010","All students, Undergraduate total","1827","1824","46","207","50","-2"
"199069","University of Mount Olive","2010","All students, Undergraduate total","3855","2598","25","1431","135","-2"
"199111","University of North Carolina at Asheville","2010","All students, Undergraduate total","3916","2177","47","123","153","-2"
"199209","North Carolina Wesleyan College","2010","All students, Undergraduate total","1467","883","11","753","24","-2"
"199272","William Peace University","2010","All students, Undergraduate total","760","748","23","158","40","-2"
"199582","Saint Augustine's University","2010","All students, Undergraduate total","1508","737","1","1449","15","-2"
"199607","Salem College","2010","All students, Undergraduate total","841","802","11","170","48","-2"
"199643","Shaw University","2010","All students, Undergraduate total","2550","1533","0","2153","9","-2"
"199698","St. Andrews University","2010","All students, Undergraduate total","441","261","8","61","10","-2"
"199865","Warren Wilson College","2010","All students, Undergraduate total","924","574","17","10","19","-2"
"200059","Dickinson State University","2010","All students, Undergraduate total","2668","1621","17","42","54","-2"
"200156","University of Jamestown","2010","All students, Undergraduate total","967","518","7","21","26","-2"
"200226","Mayville State University","2010","All students, Undergraduate total","982","553","15","60","27","-2"
"200572","Valley City State University","2010","All students, Undergraduate total","1138","631","10","36","24","-2"
"201371","Bluffton University","2010","All students, Undergraduate total","1009","535","7","72","19","-2"
"201654","Cedarville University","2010","All students, Undergraduate total","3145","1692","33","52","74","-2"
"201690","Central State University","2010","All students, Undergraduate total","2244","1106","3","2138","16","-2"
"201964","Ohio Christian University","2010","All students, Undergraduate total","1752","1014","8","386","30","-2"
"202514","Defiance College","2010","All students, Undergraduate total","980","500","5","68","40","-2"
"202523","Denison University","2010","All students, Undergraduate total","2275","1267","61","149","101","-2"
"203128","Hiram College","2010","All students, Undergraduate total","1359","755","13","139","35","-2"
"203535","Kenyon College","2010","All students, Undergraduate total","1632","874","100","60","63","-2"
"203845","Marietta College","2010","All students, Undergraduate total","1463","716","13","70","19","-2"
"204185","University of Mount Union","2010","All students, Undergraduate total","2209","1058","21","120","30","-2"
"204501","Oberlin College","2010","All students, Undergraduate total","2974","1638","122","164","192","-2"
"204635","Ohio Northern University","2010","All students, Undergraduate total","2610","1244","28","94","36","-2"
"204671","Ohio State University-Lima Campus","2010","All students, Undergraduate total","1430","748","13","77","29","-2"
"204909","Ohio Wesleyan University","2010","All students, Undergraduate total","1911","1055","41","90","43","-2"
"205443","Shawnee State University","2010","All students, Undergraduate total","4477","2579","15","220","22","-2"
"206330","Urbana University","2010","All students, Undergraduate total","1192","593","2","175","13","-2"
"206491","Wilberforce University","2010","All students, Undergraduate total","680","398","2","633","3","-2"
"206507","Wilmington College","2010","All students, Undergraduate total","1373","788","5","136","10","-2"
"206525","Wittenberg University","2010","All students, Undergraduate total","1894","1040","17","115","37","-2"
"206589","The College of Wooster","2010","All students, Undergraduate total","2003","1095","58","137","55","-2"
"206613","Wright State University-Lake Campus","2010","All students, Undergraduate total","1411","845","8","25","28","-2"
"207351","Oklahoma Panhandle State University","2010","All students, Undergraduate total","1387","690","3","83","244","-2"
"207403","Oklahoma Baptist University","2010","All students, Undergraduate total","1717","1015","13","101","68","-2"
"207661","Rogers State University","2010","All students, Undergraduate total","4486","2813","50","117","161","-2"
"207689","St. Gregory's University","2010","All students, Undergraduate total","682","411","6","52","54","-2"
"207722","University of Science and Arts of Oklahoma","2010","All students, Undergraduate total","1046","661","8","35","49","-2"
"207856","Southwestern Christian University","2010","All students, Undergraduate total","395","206","5","87","35","-2"
