"unitid","institution name","year","EF2010A.Level of student","EF2010A.Grand total","EF2010A.Grand total women","EF2010A.Asian total","EF2010A.Black or African American total","EF2010A.Hispanic total","IDX_EF"
"100812","Athens State University","2010","All students, Undergraduate total","3621","2351","38","445","44","-2"
"100937","Birmingham Southern College","2010","All students, Undergraduate total","1521","751","66","115","38","-2"
"101073","Concordia College Alabama","2010","All students, Undergraduate total","652","281","2","611","12","-2"
"101116","South University-Montgomery","2010","All students, Undergraduate total","672","488","6","443","15","-2"
"101435","Huntingdon College","2010","All students, Undergraduate total","1107","566","2","200","18","-2"
"101541","Judson College","2010","All students, Undergraduate total","322","309","2","35","4","-2"
"101675","Miles College","2010","All students, Undergraduate total","1668","872","0","1612","19","-2"
"101693","University of Mobile","2010","All students, Undergraduate total","1480","1012","7","349","15","-2"
"101912","Oakwood University","2010","All students, Undergraduate total","1867","1070","5","1656","18","-2"
"102234","Spring Hill College","2010","All students, Undergraduate total","1383","860","15","259","103","-2"
"102270","Stillman College","2010","All students, Undergraduate total","1056","593","0","893","4","-2"
"102298","Talladega College","2010","All students, Undergraduate total","706","404","3","634","13","-2"
"104090","Brookline College-Phoenix","2010","All students, Undergraduate total","1636","1363","8","300","485","-2"
"104586","Embry-Riddle Aeronautical University-Prescott","2010","All students, Undergraduate total","1647","285","96","28","155","-2"
"105899","Arizona Christian University","2010","All students, Undergraduate total","429","195","5","22","34","-2"
"106342","Lyon College","2010","All students, Undergraduate total","651","365","13","27","21","-2"
"106412","University of Arkansas at Pine Bluff","2010","All students, Undergraduate total","3283","1848","9","3105","16","-2"
"106713","Central Baptist College","2010","All students, Undergraduate total","739","333","2","129","25","-2"
"107080","Hendrix College","2010","All students, Undergraduate total","1454","832","45","46","61","-2"
"107512","Ouachita Baptist University","2010","All students, Undergraduate total","1504","808","7","99","12","-2"
"107558","University of the Ozarks","2010","All students, Undergraduate total","630","348","4","23","39","-2"
"107600","Philander Smith College","2010","All students, Undergraduate total","696","461","3","632","8","-2"
"107877","Williams Baptist College","2010","All students, Undergraduate total","631","365","1","15","14","-2"
"108092","University of Arkansas-Fort Smith","2010","All students, Undergraduate total","7751","4463","349","352","514","-2"
"111188","California State University Maritime Academy","2010","All students, Undergraduate total","855","114","59","32","107","-2"
"112084","San Diego Christian College","2010","All students, Undergraduate total","471","231","12","46","91","-2"
"112260","Claremont McKenna College","2010","All students, Undergraduate total","1261","587","148","40","96","-2"
"112394","Cogswell College","2010","All students, Undergraduate total","238","46","24","8","28","-2"
"115409","Harvey Mudd College","2010","All students, Undergraduate total","773","323","150","7","53","-2"
"115773","Humphreys University-Stockton and Modesto Campuses","2010","All students, Undergraduate total","710","596","68","136","245","-2"
"116846","American Jewish University","2010","All students, Undergraduate total","132","72","1","4","8","-2"
"118541","Marymount California University","2010","All students, Undergraduate total","794","410","53","55","127","-2"
"120254","Occidental College","2010","All students, Undergraduate total","2089","1180","294","83","318","-2"
"120865","Pacific Union College","2010","All students, Undergraduate total","1495","829","270","82","325","-2"
"121257","Pitzer College","2010","All students, Undergraduate total","1080","650","95","65","173","-2"
"121345","Pomona College","2010","All students, Undergraduate total","1560","788","169","102","188","-2"
"122728","William Jessup University","2010","All students, Undergraduate total","700","416","20","43","61","-2"
"123165","Scripps College","2010","All students, Undergraduate total","956","954","90","40","96","-2"
"124292","Thomas Aquinas College","2010","All students, Undergraduate total","355","192","3","0","40","-2"
"125727","Westmont College","2010","All students, Undergraduate total","1361","858","92","23","162","-2"
"125763","Whittier College","2010","All students, Undergraduate total","1530","797","147","84","485","-2"
"126678","Colorado College","2010","All students, Undergraduate total","2065","1108","99","29","136","-2"
"127185","Fort Lewis College","2010","All students, Undergraduate total","3853","1894","16","42","291","-2"
"127556","Colorado Mesa University","2010","All students, Undergraduate total","8046","4412","113","142","930","-2"
"127680","National American University-Colorado Springs","2010","All students, Undergraduate total","406","259","14","78","53","-2"
"128328","United States Air Force Academy","2010","All students, Undergraduate total","4619","972","357","284","392","-2"
"128780","Charter Oak State College","2010","All students, Undergraduate total","2278","1477","52","341","226","-2"
"128902","Connecticut College","2010","All students, Undergraduate total","1880","1131","56","80","109","-2"
"129774","Mitchell College","2010","All students, Undergraduate total","992","449","14","120","92","-2"
"130590","Trinity College","2010","All students, Undergraduate total","2292","1156","127","160","157","-2"
"130624","United States Coast Guard Academy","2010","All students, Undergraduate total","1017","297","39","26","81","-2"
"130697","Wesleyan University","2010","All students, Undergraduate total","2854","1472","207","176","252","-2"
"131098","Wesley College","2010","All students, Undergraduate total","1911","1020","21","744","70","-2"
"132602","Bethune-Cookman University","2010","All students, Undergraduate total","3545","2149","6","3278","54","-2"
"133492","Eckerd College","2010","All students, Undergraduate total","2346","1422","32","177","160","-2"
"133526","Edward Waters College","2010","All students, Undergraduate total","769","353","0","710","5","-2"
"133711","Flagler College-St Augustine","2010","All students, Undergraduate total","2753","1600","13","69","187","-2"
"133979","Florida Memorial University","2010","All students, Undergraduate total","1852","1138","4","1567","52","-2"
"135610","Trinity International University-Florida","2010","All students, Undergraduate total","242","154","5","76","91","-2"
