"unitid","institution name","year","IC2009.Religious affiliation","DRVHR2009.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2009.Graduation rate - Bachelor degree within 6 years, total","DRVIC2009.Percent admitted - total","DRVIC2009.Admissions yield - total","IC2009.SAT Critical Reading 25th percentile score","IC2009.SAT Critical Reading 75th percentile score","IC2009.SAT Math 25th percentile score","IC2009.SAT Math 75th percentile score","IC2009.ACT Composite 25th percentile score","IC2009.ACT Composite 75th percentile score","F0809_F2.Total expenses","F0809_F2.Instruction-Total amount","F0809_F2.Value of endowment assets at the end of the fiscal year"
"214175","Muhlenberg College","2009","Evangelical Lutheran Church","70545","85","45","29","550","650","560","660","26","30","76921265","37750026","115698100"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2009","Not applicable","72224","68","78","40","455","560","490","600","19","25",,,
"214625","Pennsylvania State University-Penn State New Kensington","2009","Not applicable","67551","49","84","44","420","540","430","550","19","26",,,
"214634","Pennsylvania State University-Penn State Shenango","2009","Not applicable","61773","37","85","67","420","500","390","490","17","22",,,
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2009","Not applicable","63930","51","85","33","420","550","430","570","16","21",,,
"214652","Pennsylvania State University-Penn State Worthington Scranton","2009","Not applicable","64613","39","83","47","420","520","410","530","18","19",,,
"214670","Pennsylvania State University-Penn State Lehigh Valley","2009","Not applicable","62906","47","81","28","440","550","430","580","18","24",,,
"214689","Pennsylvania State University-Penn State Altoona","2009","Not applicable","58420","68","75","32","440","540","470","570","20","23",,,
"214698","Pennsylvania State University-Penn State Beaver","2009","Not applicable","62343","49","90","45","410","520","430","560","18","23",,,
"214704","Pennsylvania State University-Penn State Berks","2009","Not applicable","63150","64","81","38","430","530","440","550","17","22",,,
"214731","Pennsylvania State University-Penn State Brandywine","2009","Not applicable","67823","37","78","37","420","520","430","550","16","22",,,
"214786","Pennsylvania State University-Penn State Greater Allegheny","2009","Not applicable","63944","47","78","43","390","530","390","540","16","22",,,
"214801","Pennsylvania State University-Penn State Abington","2009","Not applicable","61654","46","78","30","400","520","430","550","17","23",,,
"214810","Pennsylvania State University-Penn State Schuylkill","2009","Not applicable","60825","49","78","49","380","490","380","500","15","23",,,
"214829","Pennsylvania State University-Penn State York","2009","Not applicable","63581","45","82","31","430","540","430","570","18","23",,,
"214883","Peirce College","2009","Not applicable","58236","7",,,,,,,,,"19480357","7672078","109440"
"215266","University of Pittsburgh-Bradford","2009","Not applicable","57252","44","50","59","440","540","440","550","19","23","29832070","9721951","158600"
"215275","University of Pittsburgh-Greensburg","2009","Not applicable","54690","54","73","44","460","550","470","560","19","23","20425784","7963265","2674082"
"215284","University of Pittsburgh-Johnstown","2009","Not applicable","55213","63","89","55","440","540","460","560","19","24","43557294","16393575","22005759"
"215798","Saint Vincent College","2009","Roman Catholic","60244","73","67","37","480","590","490","600","20","26","48147979","13693336","53950078"
"216278","Susquehanna University","2009","Evangelical Lutheran Church","68493","81","73","28","500","600","510","610","23","28","61518863","21282812","83712093"
"216287","Swarthmore College","2009","Not applicable","101099","93","17","41","670","760","670","770","30","33","121884000","45108000","1128675000"
"216357","Thiel College","2009","Evangelical Lutheran Church","52501","40","72","30","420","515","468","520","18","23","26281713","7027658","19676175"
"216524","Ursinus College","2009","Not applicable","76440","83","57","15","570","680","570","670","24","29","56217555","21101600","98987660"
"216542","University of Valley Forge","2009","Assemblies of God Church","55974","47","73","60","420","540","390","540","17","25","20849883","3470371","1213553"
"216667","Washington & Jefferson College","2009","Not applicable","61910","73","42","14","510","610","520","620","22","28","46933390","14812189","75605633"
"216807","Westminster College","2009","Presbyterian Church (USA)","57268","75","61","19","480","570","490","600","20","26","36468606","12516300","72809351"
"217013","Wilson College","2009","Presbyterian Church (USA)","55684","41","51","41","440","550","420","560","16","21","18222449","3915079","50276858"
"217624","Allen University","2009","African Methodist Episcopal","46021","19",,,,,,,,,"19146451","2607877","307322"
"217721","Benedict College","2009","Baptist","47371","31",,,,,,,,,"53557039","8185357","19313150"
"217873","Claflin University","2009","United Methodist","52369","47","36","32","410","500","390","490",,,"40897973","12301583","14945520"
"217907","Coker College","2009","Not applicable","48639","45","56","31","440","540","420","550","18","22","17665071","6038389","17717654"
"217998","Erskine College","2009","Reformed Presbyterian Church","55659","69","70","44","470","580","490","610","23","27","19931597","6911582","38253067"
"218070","Furman","2009","Not applicable","81703","86","57","30","590","690","590","680","26","30","123776980","51449556","444222694"
"218229","Lander University","2009","Not applicable","52205","41","47","56","420","520","430","550","18","22",,,
"218238","Limestone College","2009","Not applicable","39797","39","51","37","410","490","430","540","15","26","26802978","10748650","9865828"
"218399","Morris College","2009","Baptist","45379","30",,,,,,,,,"18278418","6055744","9030575"
"218414","Newberry College","2009","Evangelical Lutheran Church","42965","43","69","33","410","520","430","560","17","23","19127339","4097115","19831096"
"218539","Presbyterian College","2009","Presbyterian Church (USA)","58237","68","70","36","490","620","510","630","21","27","35229878","11280381","62413000"
"218645","University of South Carolina-Aiken","2009","Not applicable","55116","34","53","58","440","540","450","550","18","23",,,
"218654","University of South Carolina-Beaufort","2009","Not applicable","55681",,"61","50","440","530","440","550","18","22",,,
"218742","University of South Carolina-Upstate","2009","Not applicable","54758","40","78","40","420","520","430","520","18","22",,,
"218919","Voorhees College","2009","Protestant Episcopal","42386","25","70","15",,,,,,,"17621233","7078003","4492318"
"218973","Wofford College","2009","United Methodist","66661","82","58","28","540","680","570","660","23","29","49515867","14918809","131591734"
"219000","Augustana University","2009","Evangelical Lutheran Church","53632","67","81","42","460","680","420","660","22","28","38733811","16445845","41219625"
"219091","Dakota Wesleyan University","2009","United Methodist","44446","37","81","39","390","630","410","580","18","26","13691357","3909450","17447188"
"219204","National American University-Rapid City","2009","Not applicable","43093","23",,,,,,,,,,,
