"unitid","institution name","year","EF2015A.Level of student","EF2015A.Grand total","EF2015A.Grand total women","EF2015A.Asian total","EF2015A.Black or African American total","EF2015A.Hispanic total","IDX_EF"
"176406","Tougaloo College","2015","All students, Undergraduate total","863","559","0","849","2","-2"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2015","All students, Undergraduate total","1094","570","4","82","32","-2"
"177144","Culver-Stockton College","2015","All students, Undergraduate total","1049","537","3","132","50","-2"
"177542","Hannibal-LaGrange University","2015","All students, Undergraduate total","1103","657","6","58","16","-2"
"177551","Harris-Stowe State University","2015","All students, Undergraduate total","1390","928","4","1128","25","-2"
"178341","Missouri Southern State University","2015","All students, Undergraduate total","5732","3340","113","340","259","-2"
"178369","Missouri Valley College","2015","All students, Undergraduate total","1712","742","8","245","64","-2"
"178387","Missouri Western State University","2015","All students, Undergraduate total","5296","3131","74","470","43","-2"
"178697","College of the Ozarks","2015","All students, Undergraduate total","1441","764","9","12","26","-2"
"179946","Westminster College","2015","All students, Undergraduate total","951","406","9","87","33","-2"
"179955","William Jewell College","2015","All students, Undergraduate total","1053","613","10","45","40","-2"
"180106","Carroll College","2015","All students, Undergraduate total","1469","849","23","13","78","-2"
"180258","University of Providence","2015","All students, Undergraduate total","1054","701","27","26","60","-2"
"180416","Montana Tech of the University of Montana","2015","All students, Undergraduate total","1920","593","10","17","30","-2"
"180522","Montana State University-Northern","2015","All students, Undergraduate total","1154","547","9","24","18","-2"
"180595","Rocky Mountain College","2015","All students, Undergraduate total","938","442","7","27","58","-2"
"180692","The University of Montana-Western","2015","All students, Undergraduate total","1403","826","10","17","41","-2"
"181020","Doane University-Arts & Sciences","2015","All students, Undergraduate total","1057","502","13","36","75","-2"
"181093","Grace University","2015","All students, Undergraduate total","390","207","7","49","40","-2"
"181127","Hastings College","2015","All students, Undergraduate total","1178","573","14","43","93","-2"
"181330","Midland University","2015","All students, Undergraduate total","1498","746","5","33","56","-2"
"181738","Union College","2015","All students, Undergraduate total","814","493","33","60","143","-2"
"181853","York College","2015","All students, Undergraduate total","404","168","9","61","81","-2"
"182634","Colby-Sawyer College","2015","All students, Undergraduate total","1228","848","16","80","39","-2"
"183071","University of New Hampshire at Manchester","2015","All students, Undergraduate total","733","375","22","5","32","-2"
"183239","Saint Anselm College","2015","All students, Undergraduate total","1927","1162","11","40","53","-2"
"183257","Granite State College","2015","All students, Undergraduate total","1865","1315","21","38","49","-2"
"183275","Thomas More College of Liberal Arts","2015","All students, Undergraduate total","87","45","2","0","4","-2"
"183822","Bloomfield College","2015","All students, Undergraduate total","1978","1261","56","991","517","-2"
"184348","Drew University","2015","All students, Undergraduate total","1450","886","79","132","136","-2"
"189088","Bard College","2015","All students, Undergraduate total","2042","1133","112","157","28","-2"
"189097","Barnard College","2015","All students, Undergraduate total","2548","2547","356","173","296","-2"
"189848","Cazenovia College","2015","All students, Undergraduate total","1072","797","9","84","58","-2"
"190099","Colgate University","2015","All students, Undergraduate total","2853","1582","101","124","263","-2"
"190248","Concordia College-New York","2015","All students, Undergraduate total","958","619","37","149","211","-2"
"190372","Cooper Union for the Advancement of Science and Art","2015","All students, Undergraduate total","899","298","156","28","80","-2"
"190646","CUNY Medgar Evers College","2015","All students, Undergraduate total","6765","4862","173","5246","886","-2"
"190655","CUNY New York City College of Technology","2015","All students, Undergraduate total","17424","7640","3425","5260","5573","-2"
"190691","CUNY York College","2015","All students, Undergraduate total","8446","5515","1814","3141","2412","-2"
"190983","Elmira College","2015","All students, Undergraduate total","1288","906","25","48","41","-2"
"191205","Five Towns College","2015","All students, Undergraduate total","629","197","21","128","98","-2"
"191515","Hamilton College","2015","All students, Undergraduate total","1877","962","142","86","139","-2"
"191533","Hartwick College","2015","All students, Undergraduate total","1393","836","27","125","95","-2"
"191621","Hilbert College","2015","All students, Undergraduate total","888","487","2","66","29","-2"
"191630","Hobart William Smith Colleges","2015","All students, Undergraduate total","2344","1157","82","117","136","-2"
"191676","Houghton College","2015","All students, Undergraduate total","1064","680","25","28","20","-2"
"192864","Marymount Manhattan College","2015","All students, Undergraduate total","1928","1483","73","187","329","-2"
