"unitid","institution name","year","DRVGR2011_RV.Graduation rate - bachelor's degree within 6 years, total"
"241386","Caribbean University-Carolina","2011","29"
"241720","Colegio Universitario de San Juan","2011","17"
"242644","Inter American University of Puerto Rico-Barranquitas","2011","35"
"242680","Inter American University of Puerto Rico-Fajardo","2011","23"
"242699","Inter American University of Puerto Rico-Guayama","2011","24"
"242705","Inter American University of Puerto Rico-Bayamon","2011","24"
"243106","University of Puerto Rico-Aguadilla","2011","29"
"243115","University of Puerto Rico-Arecibo","2011","36"
"243133","University of Puerto Rico-Bayamon","2011","45"
"243142","University of Puerto Rico-Carolina","2011","26"
"243151","University of Puerto Rico-Cayey","2011","45"
"243179","University of Puerto Rico-Humacao","2011","44"
"243212","University of Puerto Rico-Ponce","2011","38"
"243586","Pontifical Catholic University of Puerto Rico-Mayaguez","2011","17"
"243832","EDP University of Puerto Rico Inc-San Juan","2011","11"
"245652","St. John's College","2011","53"
"245847","Antioch University-Santa Barbara","2011",
"262129","New College of Florida","2011","68"
"363916","Caribbean University-Vega Baja","2011","13"
"384254","Beacon College","2011","82"
"385619","Everglades University","2011","65"
"398130","Mt Sierra College","2011","27"
"399911","Soka University of America","2011","87"
"414823","Johnson & Wales University-North Miami","2011","46"
"414878","Trine University-Regional/Non-Traditional Campuses","2011","0"
"421832","Living Arts College","2011",
"428259","Ottawa University-Milwaukee","2011",
"432241","University of Phoenix-Oregon","2011","25"
"437325","Linfield College-Online and Continuing Education","2011",
"440466","University of Phoenix-Idaho","2011","9"
"441900","Nevada State College","2011","22"
"443410","DigiPen Institute of Technology","2011","54"
"445319","University of Phoenix-Minnesota","2011","7"
"446048","Ave Maria University","2011","41"
"447050","United States University","2011",
"447689","Georgia Gwinnett College","2011",
"449870","University of the West","2011","0"
"450085","The Art Institute of Charleston","2011",
"450298","Strayer University-Delaware","2011",
"451060","Digital Media Arts College","2011","46"
"454184","The King's College","2011","51"
"454582","Ottawa University-Online","2011",
"455770","Providence Christian College","2011","57"
"456621","Strayer University-West Virginia","2011",
"457484","Pacific Rim Christian University","2011","44"
"457697","City Vision University","2011",
"458496","The Art Institute of Virginia Beach","2011",
"458973","Strayer University-Texas","2011",
"458982","The Art Institute of San Antonio","2011",
"459268","South University–Virginia Beach","2011",
"459851","Herzing University-Brookfield","2011",
"460783","Remington College-Heathrow Campus","2011",
"461236","Georgia Christian University","2011",
"461795","North American University","2011",
"462044","Institute for Doctoral Studies in the Visual Arts","2011",
"462354","John Paul the Great Catholic University","2011",
"468015","South University-The Art Institute of Fort Worth","2011",
"468024","South University-Novi","2011",
"470092","The Art Institute of Wisconsin","2011",
"475200","Whitworth University-Adult Degree Programs","2011",
"480073","South University-Austin","2011",
"480134","Elizabethtown College School of Continuing and Professional Studies","2011",
"481720","South University-High Point","2011",
"482158","Middle Georgia State University","2011",
"484622","University of Phoenix-Arkansas","2011",
"484701","University of Phoenix-Missouri","2011",
"484783","University of Phoenix-Pennsylvania","2011",
