"unitid","institution name","year","HD2017.Carnegie Classification 2015: Basic","IC2017.Religious affiliation","DRVHR2017.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2017.Graduation rate - Bachelor degree within 6 years, total","DRVADM2017.Percent admitted - total","DRVADM2017.Admissions yield - total","ADM2017.SAT Evidence-Based Reading and Writing 25th percentile score","ADM2017.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2017.SAT Math 25th percentile score","ADM2017.SAT Math 75th percentile score","ADM2017.ACT Composite 25th percentile score","ADM2017.ACT Composite 75th percentile score","F1617_F2.Total expenses","F1617_F2.Instruction-Total amount","F1617_F2.Value of endowment assets at the end of the fiscal year"
"124292","Thomas Aquinas College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Roman Catholic","79978","79","72","65","630","710","570","670","25","30","18631497","5774614","22505507"
"125727","Westmont College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","68217","70","85","23","580","700","550","680","23","30","61492135","23021032","84027561"
"125763","Whittier College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","74559","69","74","12","510","620","500","600","21","27","76810490","31968104","97214988"
"126678","Colorado College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","101015","88","15","44",,,,,,,"149137196","58866341","743175057"
"127185","Fort Lewis College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","64233","40","83","19","520","600","500","610","20","25",,,
"127556","Colorado Mesa University","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","60591","33","82","33","480","600","478","590","18","24",,,
"127680","National American University-Colorado Springs","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","41256","0",,,,,,,,,,,
"128328","United States Air Force Academy","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","81392","78","12","97","600","690","610","700","28","32",,,
"128780","Charter Oak State College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable",,,,,,,,,,,,,
"128902","Connecticut College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","89118","85","38","22",,,,,,,"116156000","39022000","299116000"
"129774","Mitchell College","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","61879","41","78","14",,,,,,,"20303205","3455240","8615022"
"130590","Trinity College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","93490","81","34","28","620","710","640","710","28","32","145292051","54557035","584499394"
"130624","United States Coast Guard Academy","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","92265","79","15","95","570","670","610","673","26","31",,,
"130697","Wesleyan University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","109377","90","16","38",,,,,,,"211512000","97234000","967177000"
"131098","Wesley College","2017","Baccalaureate Colleges: Diverse Fields","United Methodist","42162","17","62","24","330","530","420","520","15","20","32725883","11073951","3409223"
"132602","Bethune-Cookman University","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","58270","37",,,,,,,,,"97089640","25281889","42323284"
"133492","Eckerd College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","67950","70","73","17","540","650","520","610","23","29","75081395","29491343","55878164"
"133526","Edward Waters College","2017","Baccalaureate Colleges: Diverse Fields","African Methodist Episcopal","45752","32","60","17","400","480","390","490","15","18","23483795","4895966","1680649"
"133711","Flagler College-St Augustine","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","57752","55","57","27","510","610","440","530","21","26","58183429","19866672","57063118"
"133979","Florida Memorial University","2017","Baccalaureate Colleges: Diverse Fields","Baptist","63816","38","27","18",,,,,,,"35572911","7620091","5925333"
"135610","Trinity International University-Florida","2017","Baccalaureate Colleges: Diverse Fields","Evangelical Free Church of America","62658","0",,,,,,,,,"3891039","1350052","332658"
"138275","Warner University","2017","Baccalaureate Colleges: Diverse Fields","Church of God","35425","36","41","50","410","520","420","530","16","20","17738497","4223675","6158630"
"138293","Webber International University","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","39717","30","49","39","460","555","455","540","17","20","12906428","1951461","5399123"
"138600","Agnes Scott College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","82355","66","66","25",,,,,,,"55209213","17164695","229886873"
"138868","Point University","2017","Baccalaureate Colleges: Diverse Fields","Christian Churches and Churches of Christ","55777","27","35","56","430","530","440","530","16","21","27976874","8220101","4276413"
"139205","Brewton-Parker College","2017","Baccalaureate Colleges: Diverse Fields","Baptist","37779","22","99","57","430","530","440","530","14","18","9370575","2395392","7675732"
"139393","Covenant College","2017","Baccalaureate Colleges: Arts & Sciences Focus","The Presbyterian Church in America","67861","69","95","40","590","690","540","660","24","30","30200123","10629668","39286339"
"139630","Emmanuel College","2017","Baccalaureate Colleges: Diverse Fields","Pentecostal Holiness Church","44328","44","43","55","480","560","470","550","17","22","17306636","3690776","1405001"
"140234","LaGrange College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","50640","41","57","31","510","600","500","580","20","24","31174038","12903564","50950801"
"140340","Herzing University-Atlanta","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","51515","11","86","46",,,,,,,"9505854","3748034",
"140553","Morehouse College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","56580","55","74","35","480","590","470","570","18","23","88718904","24710823","141428584"
"140696","Oglethorpe University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","60576","47","58","27","570","670","540","640","22","28","26976652","8904936","31724904"
"140720","Paine College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","42666","16","32","12","380","470","360","460","14","18","14346852","6753466","11644778"
"140872","Reinhardt University","2017","Baccalaureate Colleges: Diverse Fields","United Methodist","53222","37","89","29","470","580","460","550","18","23","29794031","9855049","41641189"
"140988","Shorter University","2017","Baccalaureate Colleges: Diverse Fields","Baptist","44472","40","53","29","440","550","440","540","17","24","30750553","8042861","14090077"
"141060","Spelman College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","73975","74","40","16","550","625","520","590","22","26","96384235","29359615","366226708"
"141185","Toccoa Falls College","2017","Baccalaureate Colleges: Diverse Fields","Christ and Missionary Alliance Church","49310","53","59","44","480","600","440","550","18","23","20814125","4773427","2834401"
"141237","Truett McConnell University","2017","Baccalaureate Colleges: Diverse Fields","Southern Baptist","37224","38","95","40","470","570","450","550","18","23","18596179","5486141","6232317"
"141325","Wesleyan College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","60555","56","47","51","530","610","490","580","21","24","18540116","7345900","61484558"
"141361","Young Harris College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","55712","37","53","32","490","600","488","570","20","25","34525571","10081376","100849321"
"141981","University of Hawaii-West Oahu","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","83194","39","79","34","440","560","430","550","16","20",,,
"142294","The College of Idaho","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","62884","67","76","21",,,,,,,"33294448","9911258","100311510"
"142328","Lewis-Clark State College","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","54343","23","100","32","470","560","460","540","17","22",,,
"142522","Brigham Young University-Idaho","2017","Baccalaureate Colleges: Diverse Fields","Latter Day Saints (Mormon Church)","81771","51","95","55","500","600","490","580","20","25","279765000","170249000","103023000"
"143084","Augustana College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Evangelical Lutheran Church","69949","75","59","18",,,,,,,"74983650","25035434","159524918"
"143288","Blackburn College","2017","Baccalaureate Colleges: Diverse Fields","Presbyterian Church (USA)","54976","48","60","26","428","538","390","460","18","23","14691243","3763651","22074568"
"144883","East-West University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","59793","12","41","19",,,,,"15","19","11800032","2655785",
"144971","Eureka College","2017","Baccalaureate Colleges: Diverse Fields","Christian Church (Disciples of Christ)","51166","44","62","22","480","610","480","560","19","24","16047931","4380258","20299082"
"145646","Illinois Wesleyan University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","73108","78","61","17","590","690","605","705","24","29","75267682","33712213","235602540"
"145691","Illinois College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","66881","60","55","11",,,,,,,"33739697","9713393","137538362"
"146393","Kendall College","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","51554","26","71","57",,,,,,,,,
"146427","Knox College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","64412","76","72","15",,,,,,,"50249096","18836746","143246261"
"146481","Lake Forest College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","78508","72","53","16",,,,,,,"53959712","16787382","87796299"
"146825","MacMurray College","2017","Baccalaureate Colleges: Diverse Fields","United Methodist","52946","42","60","22","480","578","500","550","18","22","13972604","4571836","15504608"
"147244","Millikin University","2017","Baccalaureate Colleges: Diverse Fields","Presbyterian Church (USA)","53924","61","65","21","550","640","530","620","19","26","51699772","20993428","108424026"
"147341","Monmouth College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","61145","58","67","17","470","560","430","530","20","25","38766607","14692289","109758138"
"148016","Principia College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","68103","84","91","70","523","663","510","630","20","27","42478401","11656774","377459721"
"149505","Trinity Christian College","2017","Baccalaureate Colleges: Diverse Fields","Interdenominational","61620","69","83","26","545","595","510","600","19","26","29094292","11415749","10751611"
"149781","Wheaton College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Undenominational","81754","89","85","40","630","720","600","690","27","32","125095328","42548582","446375583"
"150400","DePauw University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","85921","81","67","17","560","650","550","680","24","29","114166367","49427038","669139147"
"150455","Earlham College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Friends","54584","68","52","20","610","700","580","700","25","30","61445870","28317137","425494674"
"150604","Franklin College","2017","Baccalaureate Colleges: Arts & Sciences Focus","American Baptist","58339","62","78","19","500","610","510","590","19","25","28481507","9803317","84607136"
"150668","Goshen College","2017","Baccalaureate Colleges: Diverse Fields","Mennonite Church","49064","72","64","28","490","623","490","610","19","28","29939564","9515388","107351416"
"150756","Hanover College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","70303","71","84","15","540","640","530","620","22","27","36259342","15240461","142055184"
"150774","Holy Cross College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Roman Catholic","46160","40","74","15","510","680","500","660","22","30","13439826","3166107","2064458"
"150941","Huntington University","2017","Baccalaureate Colleges: Diverse Fields","United Brethren Church","57172","60","81","30","490","590","460","580","20","24","28858123","11002585","26953827"
"151333","Indiana University-Kokomo","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","55021","39","70","49","480","570","470","550","17","22",,,
"151777","Manchester University","2017","Baccalaureate Colleges: Diverse Fields","Church of Brethren","65441","55","61","15",,,,,,,"45474269","14687553","60186210"
