"unitid","institution name","year","IC2015.Religious affiliation","DRVHR2015.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2015.Graduation rate - Bachelor degree within 6 years, total","DRVADM2015.Percent admitted - total","DRVADM2015.Admissions yield - total","ADM2015.SAT Critical Reading 25th percentile score","ADM2015.SAT Critical Reading 75th percentile score","ADM2015.SAT Math 25th percentile score","ADM2015.SAT Math 75th percentile score","ADM2015.ACT Composite 25th percentile score","ADM2015.ACT Composite 75th percentile score","F1415_F2.Total expenses","F1415_F2.Instruction-Total amount","F1415_F2.Value of endowment assets at the end of the fiscal year"
"154518","Waldorf University","2015","Not applicable","45396","33","66","36","410","510","420","460","18","22",,,
"154527","Wartburg College","2015","Evangelical Lutheran Church","60471","70","74","23","428","620","505","650","21","27","53601847","16836164","66859042"
"154712","Benedictine College","2015","Roman Catholic","59229","68","99","22","513","660","490","630","21","28","43479486","13369493","22508926"
"154721","Bethany College","2015","Evangelical Lutheran Church","35253","43","99","11","410","510","410","520","18","23","16725878","3612865","4426360"
"154749","Bethel College-North Newton","2015","Other (none of the above)","47997","68","53","28",,,,,,,"14023199","3931751","17205090"
"154855","Central Christian College of Kansas","2015","Free Methodist","32373","37",,,,,,,,,"13420895","2415987","5427575"
"155414","Kansas Wesleyan University","2015","United Methodist","51606","41","62","32","430","520","480","550","20","24","15308280","3797896","27080504"
"155511","McPherson College","2015","Church of Brethren","51480","63","73","41","460","580","440","550","15","24","15362370","5039709","35693527"
"155627","Ottawa University-Ottawa","2015","American Baptist","54585","47","41","39",,,,,,,"38925881","7610004","15214265"
"155636","Ottawa University-Kansas City","2015","American Baptist","38997",,,,,,,,,,,,
"155937","Sterling College","2015","Not applicable","41643","42","41","30","400","520","420","510","19","24","14080907","2964088","15349786"
"155973","Tabor College","2015","Mennonite Brethren Church","40806","41","55","46","400","500","430","550","19","25","15249668","3798054","8701859"
"156189","Alice Lloyd College","2015","Not applicable","42561","28","35","11","430","520","460","480","19","24","13485220","2559886","37046188"
"156295","Berea College","2015","Not applicable","68697","63","37","72","550","635","515","620","22","26","97171488","25256581","1101475900"
"156356","Brescia University","2015","Roman Catholic","47214","29","48","8","420","502","457","480","19","24","14181548","5712921","12522935"
"156408","Centre College","2015","Presbyterian Church (USA)","72612","86","71","19","540","660","570","740","26","31","59653468","24154884","285886308"
"156745","Georgetown College","2015","Baptist","56565","57","68","19","443","533","460","560","20","25","33197266","9061366","38467586"
"157058","Kentucky State University","2015","Not applicable","57438","22","38","12","380","480","450","570","17","22",,,
"157076","Kentucky Wesleyan College","2015","United Methodist","46611","40","64","26","465","550","480","560","20","25","15161437","3410741","37471515"
"157100","Kentucky Christian University","2015","Christian Churches and Churches of Christ","44271","43","36","32","400","500","420","540","19","23","16208452","2713126","6178242"
"157535","University of Pikeville","2015","Presbyterian Church (USA)","52911","35","100","13","410","460","400","470","18","23","41336565","11916200","20330542"
"157818","Transylvania University","2015","Christian Church (Disciples of Christ)","65700","73","93","22",,,,,,,"38842381","11933697","166098150"
"158477","Centenary College of Louisiana","2015","United Methodist","56052","55","67","31","490","590","490","610","21","28","26064338","7798650","138582054"
"158802","Dillard University","2015","United Methodist","56358","38","48","14","390","490","380","500","17","20","45588108","15817634","78643997"
"159382","Louisiana State University-Alexandria","2015","Not applicable","49095","24","68","33","420","500","430","560","18","22",,,
"160065","University of Holy Cross","2015","Roman Catholic","50724","36","100","87",,,,,,,"14622398","4972140","31333313"
"160959","College of the Atlantic","2015","Not applicable","67527","70","76","27",,,,,,,"23626907","4860814","50114731"
"160977","Bates College","2015","Not applicable","97857","88","22","42",,,,,,,"103404243","38699642","261501358"
"161004","Bowdoin College","2015","Not applicable","102303","93","15","50",,,,,,,"154283000","53056000","1392760000"
"161086","Colby College","2015","Not applicable","105822","94","23","30","630","720","640","740","29","32","127795000","43909000","745957000"
"161217","University of Maine at Augusta","2015","Not applicable","65313","12",,,,,,,,,,,
"161226","University of Maine at Farmington","2015","Not applicable","61173","59","83","33",,,,,,,,,
"161235","University of Maine at Fort Kent","2015","Not applicable","60561","31","89","65","400","480","400","500","15","19",,,
"161244","University of Maine at Machias","2015","Not applicable","56385","29",,,,,,,,,,,
"161299","Maine Maritime Academy","2015","Not applicable","65592","59","65","42","460","560","490","590","19","26",,,
"161341","University of Maine at Presque Isle","2015","Not applicable","55503","45","77","18",,,,,,,,,
"161572","Unity College","2015","Not applicable","54342","54","91","26",,,,,,,"15846521","4790464","14227071"
"162654","Goucher College","2015","Not applicable","70299","69","77","14",,,,,,,"69794000","26126587","216707000"
"163912","St Mary's College of Maryland","2015","Not applicable","64323","78","79","30","530","640","500","620","22","28",,,
"163921","Sojourner-Douglass College","2015","Not applicable",,,,,,,,,,,,,
"163976","St. John's College","2015","Not applicable","83637","71","78","40",,,,,,,"29256176","10012211","89799685"
"164155","United States Naval Academy","2015","Not applicable","95301","86","9","87","570","680","610","700",,,,,
"164216","Washington College","2015","Not applicable","73143","75","54","11",,,,,,,"67210719","21299678","204240520"
"164270","McDaniel College","2015","Not applicable","64665","70","80","19","480","590","480","590","20","27","64685000","24012000","115530000"
"164465","Amherst College","2015","Not applicable","111996","95","14","39","680","773","680","780","31","34","180208286","51620890","2193510735"
"164720","Becker College","2015","Not applicable","69579","28","67","19","450","550","450","560","19","25","43848887","11077191","4585364"
