"unitid","institution name","year","IC2010.Religious affiliation","DRVIC2010.Percent admitted - total","DRVIC2010.Admissions yield - total","DRVHR2010.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2010.Graduation rate - Bachelor degree within 6 years, total","IC2010.SAT Critical Reading 25th percentile score","IC2010.SAT Critical Reading 75th percentile score","IC2010.SAT Math 25th percentile score","IC2010.SAT Math 75th percentile score","IC2010.ACT Composite 25th percentile score","IC2010.ACT Composite 75th percentile score","F0910_F2.Total expenses","F0910_F2.Instruction-Total amount","F0910_F2.Value of endowment assets at the end of the fiscal year"
"171881","Kuyper College","2010","Other Protestant","75","42","49590","40",,,,,"19","26","6685970","2802799","7817540"
"172440","Finlandia University","2010","Evangelical Lutheran Church","28","56","40843","29",,,,,,,"11946277","4016144","3278048"
"173142","Bethany Lutheran College","2010","Other (none of the above)","83","44","58121","40",,,,,"19","27","16475329","5275514","31182391"
"173258","Carleton College","2010","Not applicable","31","34","88676","93","650","750","650","750","29","33","111542293","48152212","563438740"
"173300","Concordia College at Moorhead","2010","Evangelical Lutheran Church","95","34","61132","67","490","600","490","620","22","28","84505631","27640828","74282795"
"173647","Gustavus Adolphus College","2010","Evangelical Lutheran Church","70","27","59841","77",,,"565","675","25","29","76023525","30689786","94119271"
"173902","Macalester College","2010","Presbyterian Church (USA)","43","28","83445","88","640","740","620","710","28","32","90595000","32311000","569131000"
"174075","University of Minnesota-Crookston","2010","Not applicable","78","44","58272","37","420","540","410","520","19","24",,,
"174251","University of Minnesota-Morris","2010","Not applicable","65","28","61347","66","500","650","500","650","23","28",,,
"174394","Sanford-Brown College-Mendota Heights","2010","Not applicable",,,"45446","28",,,,,,,,,
"174437","North Central University","2010","Assemblies of God Church","69","58","59437","40","470","560","460","600","19","24","20537758","6049020","2323473"
"174747","College of Saint Benedict","2010","Roman Catholic","81","39","67165","79","495","630","510","640","23","29","57261973","19776012","37289972"
"174792","Saint Johns University","2010","Roman Catholic","80","41","68120","74","480","620","540","670","23","29","67234614","22790208","121593467"
"174844","St Olaf College","2010","Evangelical Lutheran Church","57","37","71867","85","600","720","600","710","26","31","105438807","45757758","276435648"
"174862","Crown College","2010","Christ and Missionary Alliance Church","77","50","55431","53","460","520","450","600","19","25","17088602","3733035","5779302"
"175430","Blue Mountain College","2010","Southern Baptist","44","63","44017","40",,,,,"18","24","7929361","3814718","8347538"
"175980","Millsaps College","2010","United Methodist","77","24","64663","68","520","640","540","650","24","29","36533571","12741504","82058259"
"176318","Rust College","2010","United Methodist","34","17","41826","27",,,,,"17","18","16904871","5064426","20074959"
"176406","Tougaloo College","2010","United Church of Christ","34","20","39164","40","350","510","370","460","15","26","22617005","4395563","8134273"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2010","United Methodist","65","37","47280","45","455","520","445","515","20","24","21446582","9251203","26541195"
"177144","Culver-Stockton College","2010","Christian Church (Disciples of Christ)","61","24","48446","53","470","560","440","590","19","24","15380936","4648900","17108358"
"177542","Hannibal-LaGrange University","2010","Southern Baptist","59","41","41420","53","260","490","440","480","19","24","17768958","4418960","5738125"
"177551","Harris-Stowe State University","2010","Not applicable",,,"48221","13",,,,,,,,,
"178341","Missouri Southern State University","2010","Not applicable","94","53","56515","34",,,,,"18","24",,,
"178369","Missouri Valley College","2010","Presbyterian Church (USA)","48","67","41901","32","390","460","385","480","18","21","15581400","5186837","4067819"
"178387","Missouri Western State University","2010","Not applicable",,,"58601","29",,,,,,,,,
"178697","College of the Ozarks","2010","Presbyterian Church (USA)","10","90","58656","68",,,,,"20","25","45714846","12331616","277382208"
"179946","Westminster College","2010","Presbyterian Church (USA)","78","31","52520","63","420","575","475","580","22","28","23615510","6315445","39841591"
"179955","William Jewell College","2010","Not applicable","50","18","58725","65","510","670","500","610","23","28","30741540","9221366","59519646"
"180106","Carroll College","2010","Roman Catholic","77","30","52126","58","490","600","480","610","22","27","43707667","9331287","27028508"
"180258","University of Providence","2010","Roman Catholic",,,"41749","21",,,,,,,"13469351","3318535","8366997"
"180416","Montana Tech of the University of Montana","2010","Not applicable","91","60","56375","51","450","580","490","620","21","26",,,
"180522","Montana State University-Northern","2010","Not applicable","66","88","47049","29","420","530","425","530","17","22",,,
"180595","Rocky Mountain College","2010","United Church of Christ","70","33","50028","52","460","580","450","570","20","25","19372654","7107835","18601120"
