"unitid","institution name","year","EF2009A.Level of student","EF2009A.Grand total","EF2009A.Grand total women","EF2009A.Asian total - new","EF2009A.Black or African American total - new","EF2009A.Hispanic total - new","IDX_EF"
"177542","Hannibal-LaGrange University","2009","All students, Undergraduate total","1022","648","5","24","17","-2"
"177551","Harris-Stowe State University","2009","All students, Undergraduate total","1886","1257",,,,"-2"
"178341","Missouri Southern State University","2009","All students, Undergraduate total","5639","3292","76","205","149","-2"
"178369","Missouri Valley College","2009","All students, Undergraduate total","1789","819",,,,"-2"
"178387","Missouri Western State University","2009","All students, Undergraduate total","5634","3264","36","559","116","-2"
"178697","College of the Ozarks","2009","All students, Undergraduate total","1347","763",,,,"-2"
"179946","Westminster College","2009","All students, Undergraduate total","1087","487","15","68","23","-2"
"179955","William Jewell College","2009","All students, Undergraduate total","1083","650",,,,"-2"
"180106","Carroll College","2009","All students, Undergraduate total","1462","854",,,,"-2"
"180258","University of Providence","2009","All students, Undergraduate total","782","490",,,,"-2"
"180416","Montana Tech of the University of Montana","2009","All students, Undergraduate total","2053","744",,,,"-2"
"180522","Montana State University-Northern","2009","All students, Undergraduate total","1200","581",,,,"-2"
"180595","Rocky Mountain College","2009","All students, Undergraduate total","812","407","9","18","22","-2"
"180692","The University of Montana-Western","2009","All students, Undergraduate total","1255","696",,,,"-2"
"181020","Doane University-Arts & Sciences","2009","All students, Undergraduate total","964","478","8","33","35","-2"
"181093","Grace University","2009","All students, Undergraduate total","403","234","5","15","15","-2"
"181127","Hastings College","2009","All students, Undergraduate total","1104","530","11","33","45","-2"
"181330","Midland University","2009","All students, Undergraduate total","709","404","9","58","24","-2"
"181738","Union College","2009","All students, Undergraduate total","813","473",,,,"-2"
"181853","York College","2009","All students, Undergraduate total","430","190","5","38","23","-2"
"182634","Colby-Sawyer College","2009","All students, Undergraduate total","1122","758","12","39","23","-2"
"183071","University of New Hampshire at Manchester","2009","All students, Undergraduate total","955","499",,,,"-2"
"183239","Saint Anselm College","2009","All students, Undergraduate total","1915","1086",,,,"-2"
"183257","Granite State College","2009","All students, Undergraduate total","1518","1108","6","16","25","-2"
"183275","Thomas More College of Liberal Arts","2009","All students, Undergraduate total","64","32",,,,"-2"
"183822","Bloomfield College","2009","All students, Undergraduate total","2156","1398","71","1074","420","-2"
"184348","Drew University","2009","All students, Undergraduate total","1739","1052","88","136","181","-2"
"189088","Bard College","2009","All students, Undergraduate total","1939","1104",,,,"-2"
"189097","Barnard College","2009","All students, Undergraduate total","2357","2357",,,,"-2"
"189848","Cazenovia College","2009","All students, Undergraduate total","1119","821",,,,"-2"
"190099","Colgate University","2009","All students, Undergraduate total","2825","1502",,,,"-2"
"190248","Concordia College-New York","2009","All students, Undergraduate total","686","429",,,,"-2"
"190372","Cooper Union for the Advancement of Science and Art","2009","All students, Undergraduate total","902","339",,,,"-2"
"190646","CUNY Medgar Evers College","2009","All students, Undergraduate total","7080","5313",,,,"-2"
"190655","CUNY New York City College of Technology","2009","All students, Undergraduate total","15399","7338",,,,"-2"
"190691","CUNY York College","2009","All students, Undergraduate total","7732","5113",,,,"-2"
"190983","Elmira College","2009","All students, Undergraduate total","1359","979",,,,"-2"
"191205","Five Towns College","2009","All students, Undergraduate total","1106","354",,,,"-2"
"191515","Hamilton College","2009","All students, Undergraduate total","1882","1000",,,,"-2"
"191533","Hartwick College","2009","All students, Undergraduate total","1470","861",,,,"-2"
"191621","Hilbert College","2009","All students, Undergraduate total","967","605","0","99","34","-2"
"191630","Hobart William Smith Colleges","2009","All students, Undergraduate total","2107","1140",,,,"-2"
"191676","Houghton College","2009","All students, Undergraduate total","1311","855","20","25","17","-2"
"192864","Marymount Manhattan College","2009","All students, Undergraduate total","2040","1553",,,,"-2"
"194392","Paul Smiths College of Arts and Science","2009","All students, Undergraduate total","915","295",,,,"-2"
"195173","St Francis College","2009","All students, Undergraduate total","2481","1357",,,,"-2"
"195216","St Lawrence University","2009","All students, Undergraduate total","2295","1255","37","68","91","-2"
"195304","Sarah Lawrence College","2009","All students, Undergraduate total","1367","996",,,,"-2"
"195474","Siena College","2009","All students, Undergraduate total","3285","1762",,,,"-2"
"195526","Skidmore College","2009","All students, Undergraduate total","2674","1616",,,,"-2"
"196042","Farmingdale State College","2009","All students, Undergraduate total","6988","2996","0","554","559","-2"
"196219","SUNY at Purchase College","2009","All students, Undergraduate total","4065","2259","0","289","441","-2"
"196866","Union College","2009","All students, Undergraduate total","2194","1068",,,,"-2"
"197027","United States Merchant Marine Academy","2009","All students, Undergraduate total","964","109",,,,"-2"
"197036","United States Military Academy","2009","All students, Undergraduate total","4621","680","246","256","396","-2"
"197133","Vassar College","2009","All students, Undergraduate total","2452","1452",,,,"-2"
"197230","Wells College","2009","All students, Undergraduate total","568","404",,,,"-2"
"197911","Barton College","2009","All students, Undergraduate total","1150","824","12","297","20","-2"
"197984","Belmont Abbey College","2009","All students, Undergraduate total","1638","1036",,,,"-2"
"197993","Bennett College","2009","All students, Undergraduate total","766","766",,,,"-2"
"198066","Brevard College","2009","All students, Undergraduate total","663","287",,,,"-2"
"198215","Catawba College","2009","All students, Undergraduate total","1324","687","8","238","16","-2"
"198303","Chowan University","2009","All students, Undergraduate total","1076","534","0","13","1","-2"
"198385","Davidson College","2009","All students, Undergraduate total","1743","887","81","117","84","-2"
"198598","Greensboro College","2009","All students, Undergraduate total","1187","630","3","245","26","-2"
"198613","Guilford College","2009","All students, Undergraduate total","2833","1668",,,,"-2"
"198695","High Point University","2009","All students, Undergraduate total","3277","2053",,,,"-2"
"198756","Johnson C Smith University","2009","All students, Undergraduate total","1466","867","0","1427","4","-2"
"198808","Lees-McRae College","2009","All students, Undergraduate total","906","560",,,,"-2"
"198862","Livingstone College","2009","All students, Undergraduate total","1082","487",,,,"-2"
"198899","Mars Hill University","2009","All students, Undergraduate total","1237","641",,,,"-2"
"198950","Meredith College","2009","All students, Undergraduate total","1967","1958","52","210","57","-2"
"199069","University of Mount Olive","2009","All students, Undergraduate total","3569","2392","30","1258","126","-2"
"199111","University of North Carolina at Asheville","2009","All students, Undergraduate total","3845","2176","51","123","132","-2"
"199209","North Carolina Wesleyan College","2009","All students, Undergraduate total","1449","862","8","735","21","-2"
"199272","William Peace University","2009","All students, Undergraduate total","732","727",,,,"-2"
"199582","Saint Augustine's University","2009","All students, Undergraduate total","1529","750","2","1373","14","-2"
"199607","Salem College","2009","All students, Undergraduate total","764","740",,,,"-2"
"199643","Shaw University","2009","All students, Undergraduate total","2342","1483","0","2020","9","-2"
"199698","St. Andrews University","2009","All students, Undergraduate total","600","347",,,,"-2"
"199865","Warren Wilson College","2009","All students, Undergraduate total","953","585","13","18","21","-2"
"200059","Dickinson State University","2009","All students, Undergraduate total","2767","1702","18","41","55","-2"
"200156","University of Jamestown","2009","All students, Undergraduate total","1010","543",,,,"-2"
"200226","Mayville State University","2009","All students, Undergraduate total","887","510","9","52","32","-2"
"200572","Valley City State University","2009","All students, Undergraduate total","961","513","10","39","15","-2"
"201371","Bluffton University","2009","All students, Undergraduate total","1005","510",,,,"-2"
"201654","Cedarville University","2009","All students, Undergraduate total","3037","1649","37","46","81","-2"
"201690","Central State University","2009","All students, Undergraduate total","2400","1182",,,,"-2"
"201964","Ohio Christian University","2009","All students, Undergraduate total","1105","613","11","276","20","-2"
"202514","Defiance College","2009","All students, Undergraduate total","957","498","5","62","43","-2"
"202523","Denison University","2009","All students, Undergraduate total","2267","1273",,,,"-2"
"203128","Hiram College","2009","All students, Undergraduate total","1367","758",,,,"-2"
"203535","Kenyon College","2009","All students, Undergraduate total","1633","851",,,,"-2"
"203845","Marietta College","2009","All students, Undergraduate total","1515","745",,,,"-2"
"204185","University of Mount Union","2009","All students, Undergraduate total","2193","1107","24","107","33","-2"
"204501","Oberlin College","2009","All students, Undergraduate total","2905","1605",,,,"-2"
"204635","Ohio Northern University","2009","All students, Undergraduate total","2685","1235",,,,"-2"
"204671","Ohio State University-Lima Campus","2009","All students, Undergraduate total","1402","748",,,,"-2"
"204909","Ohio Wesleyan University","2009","All students, Undergraduate total","1893","1020",,,,"-2"
"205443","Shawnee State University","2009","All students, Undergraduate total","4220","2468","0","0","0","-2"
"206330","Urbana University","2009","All students, Undergraduate total","1368","736","3","212","16","-2"
"206491","Wilberforce University","2009","All students, Undergraduate total","702","424",,,,"-2"
"206507","Wilmington College","2009","All students, Undergraduate total","1553","838",,,,"-2"
"206525","Wittenberg University","2009","All students, Undergraduate total","1899","1093","15","86","30","-2"
"206589","The College of Wooster","2009","All students, Undergraduate total","1853","994","54","114","44","-2"
"206613","Wright State University-Lake Campus","2009","All students, Undergraduate total","1248","788",,,,"-2"
"207351","Oklahoma Panhandle State University","2009","All students, Undergraduate total","1266","607",,,,"-2"
"207403","Oklahoma Baptist University","2009","All students, Undergraduate total","1709","969",,,,"-2"
"207661","Rogers State University","2009","All students, Undergraduate total","4235","2660",,,,"-2"
"207689","St. Gregory's University","2009","All students, Undergraduate total","678","413",,,,"-2"
"207722","University of Science and Arts of Oklahoma","2009","All students, Undergraduate total","1091","705",,,,"-2"
"207856","Southwestern Christian University","2009","All students, Undergraduate total","240","118","2","53","17","-2"
"209056","Lewis & Clark College","2009","All students, Undergraduate total","1977","1185",,,,"-2"
"209065","Linfield College-McMinnville Campus","2009","All students, Undergraduate total","1678","961",,,,"-2"
"209506","Oregon Institute of Technology","2009","All students, Undergraduate total","3895","1908",,,,"-2"
"209922","Reed College","2009","All students, Undergraduate total","1452","793",,,,"-2"
"210304","Warner Pacific College","2009","All students, Undergraduate total","1179","740",,,,"-2"
"210401","Willamette University","2009","All students, Undergraduate total","1997","1128",,,,"-2"
"210492","Bryn Athyn College of the New Church","2009","All students, Undergraduate total","188","94","3","10","0","-2"
"210571","Albright College","2009","All students, Undergraduate total","2282","1341",,,,"-2"
"210669","Allegheny College","2009","All students, Undergraduate total","2132","1169",,,,"-2"
"210906","The Art Institutes of York-PA","2009","All students, Undergraduate total","706","421","17","68","28","-2"
"211273","Bryn Mawr College","2009","All students, Undergraduate total","1307","1307",,,,"-2"
"211291","Bucknell University","2009","All students, Undergraduate total","3607","1864","135","106","111","-2"
"211468","Cedar Crest College","2009","All students, Undergraduate total","1685","1595",,,,"-2"
"211477","Central Penn College","2009","All students, Undergraduate total","1216","781",,,,"-2"
"211608","Cheyney University of Pennsylvania","2009","All students, Undergraduate total","1402","752",,,,"-2"
"212009","Dickinson College","2009","All students, Undergraduate total","2376","1334",,,,"-2"
"212197","Elizabethtown College","2009","All students, Undergraduate total","2322","1478","39","83","58","-2"
"212577","Franklin and Marshall College","2009","All students, Undergraduate total","2175","1120",,,,"-2"
"212674","Gettysburg College","2009","All students, Undergraduate total","2547","1315",,,,"-2"
"212805","Grove City College","2009","All students, Undergraduate total","2530","1253",,,,"-2"
"212911","Haverford College","2009","All students, Undergraduate total","1190","652","102","93","95","-2"
"213251","Juniata College","2009","All students, Undergraduate total","1468","825",,,,"-2"
"213303","Keystone College","2009","All students, Undergraduate total","1641","984","16","47","41","-2"
"213358","La Roche College","2009","All students, Undergraduate total","1230","788",,,,"-2"
"213385","Lafayette College","2009","All students, Undergraduate total","2406","1127",,,,"-2"
"213668","Lycoming College","2009","All students, Undergraduate total","1375","721",,,,"-2"
"213996","Messiah College","2009","All students, Undergraduate total","2766","1742","41","59","46","-2"
"214157","Moravian College","2009","All students, Undergraduate total","1795","1076",,,,"-2"
"214175","Muhlenberg College","2009","All students, Undergraduate total","2517","1454",,,,"-2"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2009","All students, Undergraduate total","4290","1579","87","130","99","-2"
"214625","Pennsylvania State University-Penn State New Kensington","2009","All students, Undergraduate total","819","325","7","17","9","-2"
"214634","Pennsylvania State University-Penn State Shenango","2009","All students, Undergraduate total","816","559","6","62","14","-2"
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2009","All students, Undergraduate total","672","206","8","17","14","-2"
"214652","Pennsylvania State University-Penn State Worthington Scranton","2009","All students, Undergraduate total","1388","713","24","19","45","-2"
"214670","Pennsylvania State University-Penn State Lehigh Valley","2009","All students, Undergraduate total","824","360","65","20","88","-2"
"214689","Pennsylvania State University-Penn State Altoona","2009","All students, Undergraduate total","4147","1965","85","240","139","-2"
"214698","Pennsylvania State University-Penn State Beaver","2009","All students, Undergraduate total","851","383","19","60","20","-2"
"214704","Pennsylvania State University-Penn State Berks","2009","All students, Undergraduate total","2647","1142","108","174","157","-2"
"214731","Pennsylvania State University-Penn State Brandywine","2009","All students, Undergraduate total","1607","672","96","201","38","-2"
"214786","Pennsylvania State University-Penn State Greater Allegheny","2009","All students, Undergraduate total","750","330","23","170","23","-2"
"214801","Pennsylvania State University-Penn State Abington","2009","All students, Undergraduate total","3397","1657","464","388","216","-2"
"214810","Pennsylvania State University-Penn State Schuylkill","2009","All students, Undergraduate total","1007","555","22","264","42","-2"
"214829","Pennsylvania State University-Penn State York","2009","All students, Undergraduate total","1439","658","64","92","68","-2"
"214883","Peirce College","2009","All students, Undergraduate total","2083","1502",,,,"-2"
"215266","University of Pittsburgh-Bradford","2009","All students, Undergraduate total","1657","912","33","87","24","-2"
"215275","University of Pittsburgh-Greensburg","2009","All students, Undergraduate total","1808","894","41","88","30","-2"
"215284","University of Pittsburgh-Johnstown","2009","All students, Undergraduate total","3057","1396","48","73","37","-2"
"215798","Saint Vincent College","2009","All students, Undergraduate total","1741","815","9","91","39","-2"
"216278","Susquehanna University","2009","All students, Undergraduate total","2231","1190","36","67","62","-2"
"216287","Swarthmore College","2009","All students, Undergraduate total","1525","795",,,,"-2"
"216357","Thiel College","2009","All students, Undergraduate total","999","467",,,,"-2"
"216524","Ursinus College","2009","All students, Undergraduate total","1742","936","64","96","53","-2"
"216542","University of Valley Forge","2009","All students, Undergraduate total","1161","596",,,,"-2"
"216667","Washington & Jefferson College","2009","All students, Undergraduate total","1514","721","17","44","20","-2"
"216807","Westminster College","2009","All students, Undergraduate total","1471","865",,,,"-2"
"217013","Wilson College","2009","All students, Undergraduate total","809","678",,,,"-2"
"217624","Allen University","2009","All students, Undergraduate total","827","466",,,,"-2"
"217721","Benedict College","2009","All students, Undergraduate total","2983","1515",,,,"-2"
"217873","Claflin University","2009","All students, Undergraduate total","1779","1167",,,,"-2"
"217907","Coker College","2009","All students, Undergraduate total","1141","827",,,,"-2"
"217998","Erskine College","2009","All students, Undergraduate total","582","319",,,,"-2"
"218070","Furman","2009","All students, Undergraduate total","2753","1567",,,,"-2"
"218229","Lander University","2009","All students, Undergraduate total","2789","1850",,,,"-2"
"218238","Limestone College","2009","All students, Undergraduate total","3137","1940",,,,"-2"
"218399","Morris College","2009","All students, Undergraduate total","966","563",,,,"-2"
"218414","Newberry College","2009","All students, Undergraduate total","1103","492",,,,"-2"
"218539","Presbyterian College","2009","All students, Undergraduate total","1221","622",,,,"-2"
"218645","University of South Carolina-Aiken","2009","All students, Undergraduate total","3202","2120","26","849","95","-2"
"218654","University of South Carolina-Beaufort","2009","All students, Undergraduate total","1684","1003","16","252","97","-2"
"218742","University of South Carolina-Upstate","2009","All students, Undergraduate total","5291","3407","101","1344","200","-2"
"218919","Voorhees College","2009","All students, Undergraduate total","701","389",,,,"-2"
"218973","Wofford College","2009","All students, Undergraduate total","1468","731",,,,"-2"
"219000","Augustana University","2009","All students, Undergraduate total","1771","1116",,,,"-2"
"219091","Dakota Wesleyan University","2009","All students, Undergraduate total","735","432",,,,"-2"
"219204","National American University-Rapid City","2009","All students, Undergraduate total","1685","1140","14","107","30","-2"
"220181","Fisk University","2009","All students, Undergraduate total","600","395","3","512","0","-2"
"220206","Welch College","2009","All students, Undergraduate total","303","135","0","27","3","-2"
"220598","Lane College","2009","All students, Undergraduate total","2146","1138","0","2138","2","-2"
"220604","Le Moyne-Owen College","2009","All students, Undergraduate total","890","580","1","886","2","-2"
"220701","Martin Methodist College","2009","All students, Undergraduate total","1001","630",,,,"-2"
"220710","Maryville College","2009","All students, Undergraduate total","1102","611","6","62","23","-2"
"221351","Rhodes College","2009","All students, Undergraduate total","1663","951",,,,"-2"
"221519","Sewanee-The University of the South","2009","All students, Undergraduate total","1469","754",,,,"-2"
"221731","Tennessee Wesleyan University","2009","All students, Undergraduate total","1070","690","1","39","13","-2"
"222983","Austin College","2009","All students, Undergraduate total","1335","725",,,,"-2"
"224527","East Texas Baptist University","2009","All students, Undergraduate total","1179","604",,,,"-2"
"225548","Howard Payne University","2009","All students, Undergraduate total","1217","584",,,,"-2"
"225575","Huston-Tillotson University","2009","All students, Undergraduate total","844","441",,,,"-2"
"225885","Jarvis Christian College","2009","All students, Undergraduate total","628","330","0","587","19","-2"
"226587","McMurry University","2009","All students, Undergraduate total","1509","765",,,,"-2"
"227429","Paul Quinn College","2009","All students, Undergraduate total","167","77",,,,"-2"
"228042","Schreiner University","2009","All students, Undergraduate total","1028","572","0","42","225","-2"
"228343","Southwestern University","2009","All students, Undergraduate total","1301","812",,,,"-2"
"228468","Southwestern Adventist University","2009","All students, Undergraduate total","786","447",,,,"-2"
"228884","Texas College","2009","All students, Undergraduate total","936","420",,,,"-2"
"228981","Texas Lutheran University","2009","All students, Undergraduate total","1387","722",,,,"-2"
"229887","Wiley College","2009","All students, Undergraduate total","1237","772","0","1144","44","-2"
"230047","Brigham Young University-Hawaii","2009","All students, Undergraduate total","2586","1408","134","0","0","-2"
"230630","Stevens-Henager College","2009","All students, Undergraduate total","375","198","0","6","29","-2"
"230816","Bennington College","2009","All students, Undergraduate total","664","444",,,,"-2"
"230834","Castleton University","2009","All students, Undergraduate total","2008","1070",,,,"-2"
"230931","Lyndon State College","2009","All students, Undergraduate total","1424","659",,,,"-2"
"230940","Marlboro College","2009","All students, Undergraduate total","315","151","4","4","13","-2"
"230959","Middlebury College","2009","All students, Undergraduate total","2482","1260","0","0","0","-2"
"231059","Saint Michael's College","2009","All students, Undergraduate total","1950","1013",,,,"-2"
"231077","College of St Joseph","2009","All students, Undergraduate total","242","152",,,,"-2"
"231086","Southern Vermont College","2009","All students, Undergraduate total","486","310",,,,"-2"
