"unitid","institution name","year","EF2009A.Level of student","EF2009A.Grand total","EF2009A.Grand total women","EF2009A.Asian total - new","EF2009A.Black or African American total - new","EF2009A.Hispanic total - new","IDX_EF"
"440466","University of Phoenix-Idaho","2009","All students, Undergraduate total","502","274",,,,"-2"
"441900","Nevada State College","2009","All students, Undergraduate total","2516","1897","253","235","475","-2"
"443410","DigiPen Institute of Technology","2009","All students, Undergraduate total","839","122","66","3","56","-2"
"445319","University of Phoenix-Minnesota","2009","All students, Undergraduate total","269","156",,,,"-2"
"446048","Ave Maria University","2009","All students, Undergraduate total","679","360",,,,"-2"
"447050","United States University","2009","All students, Undergraduate total","96","70","23","7","58","-2"
"447689","Georgia Gwinnett College","2009","All students, Undergraduate total","2947","1544","147","186","89","-2"
"449870","University of the West","2009","All students, Undergraduate total","73","34","10","0","5","-2"
"450085","The Art Institute of Charleston","2009","All students, Undergraduate total","686","432",,,,"-2"
"451060","Digital Media Arts College","2009","All students, Undergraduate total","355","93",,,,"-2"
"454184","The King's College","2009","All students, Undergraduate total","302","186",,,,"-2"
"454582","Ottawa University-Online","2009","All students, Undergraduate total","156","104",,,,"-2"
"455770","Providence Christian College","2009","All students, Undergraduate total","60","34","0","1","5","-2"
