"unitid","institution name","year","IC2016.Religious affiliation","DRVHR2016.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2016.Graduation rate - Bachelor degree within 6 years, total","DRVADM2016.Percent admitted - total","DRVADM2016.Admissions yield - total","ADM2016.SAT Critical Reading 25th percentile score","ADM2016.SAT Critical Reading 75th percentile score","ADM2016.SAT Math 25th percentile score","ADM2016.SAT Math 75th percentile score","ADM2016.ACT Composite 25th percentile score","ADM2016.ACT Composite 75th percentile score","F1516_F2.Total expenses","F1516_F2.Instruction-Total amount","F1516_F2.Value of endowment assets at the end of the fiscal year"
"151333","Indiana University-Kokomo","2016","Not applicable","54740","39","69","48","410","520","420","510","18","23",,,
"151777","Manchester University","2016","Church of Brethren","64283","57","71","23","430","540","435","550","18","30","40525307","13537874","55818791"
"151810","Martin University","2016","Not applicable","41096","5",,,,,,,,,"5552378","890542",
"152099","Oakland City University","2016","General Baptist","47325","45","33","42","415","525","440","550","18","24","24299363","7935160","4939770"
"152266","Purdue University-North Central Campus","2016","Not applicable","70880","23","50","28","440","530","430","520","19","23",,,
"152363","Saint Josephs College","2016","Roman Catholic","52911","50","77","20","425","515","430","530","21","24","26798809","7152951","18870874"
"152381","Saint Mary-of-the-Woods College","2016","Roman Catholic","48375","45","73","30","420","520","405","510","17","22","17164926","8759849","12119538"
"152390","Saint Mary's College","2016","Roman Catholic","67109","77","82","30","500","590","480","570","22","28","59754331","23820821","165662259"
"152530","Taylor University","2016","Interdenominational","60035","76","80","33","470","630","480","620","22","29","64833350","22973299","76730628"
"152567","Trine University","2016","Not applicable","69203","56","77","21","450","580","490","620","20","27","52095816","18626533","29342177"
"152673","Wabash College","2016","Not applicable","76641","72","63","27","490","590","530","640","23","28","50839169","14754449","327125517"
"152992","Briar Cliff University","2016","Roman Catholic","56207","44",,,,,,,,,"22338792","7198131","12066605"
"153001","Buena Vista University","2016","Presbyterian Church (USA)","57681","53","64","23","400","510","440","490","19","26","42637663","15387255","127326442"
"153108","Central College","2016","Reformed Church in America","64523","65","73","11","460","660","490","630","21","26","45870332","17281253","71347418"
"153126","Clarke University","2016","Roman Catholic","54163","61","65","21","423","530","433","530","20","25","26127650","9205128","24259677"
"153144","Coe College","2016","Presbyterian Church (USA)","65473","67","50","11","510","620","510","650","22","28","40010899","14428435","86070730"
"153162","Cornell College","2016","United Methodist","64224","68","71","21","475","655","495","620","23","29","37669194","12894034","70926134"
"153250","Dordt College","2016","Christian Reformed Church","56881","69","72","37","450","600","470","600","22","27","37299685","14967681","35397974"
"153375","Grand View University","2016","Evangelical Lutheran Church","58067","48","97","39","390","520","460","550","18","23","34955589","11720632","19836830"
"153384","Grinnell College","2016","Not applicable","85942","86","20","28","640","750","680","780","30","33","119266000","42256000","1648783000"
"153621","Iowa Wesleyan University","2016","United Methodist","51007","28","51","6","420","560","430","520","17","21","13763532","3905519","15087253"
"153825","Loras College","2016","Roman Catholic","55963","71","92","28","483","633","455","613","20","25","40625253","10072525","30829064"
"153834","Luther College","2016","Evangelical Lutheran Church","67732","79","68","20","448","573","480","625","23","28","77808965","30647530","147932122"
"154101","Northwestern College","2016","Reformed Church in America","57130","64","66","20","440","560","475","610","21","28","29142071","10391933","44166107"
"154350","Simpson College","2016","United Methodist","60928","63","85","32","460","590","457","645","21","27","40391245","15411135","79823014"
"154518","Waldorf University","2016","Not applicable","45958","21","67","32","420","500","400","520","18","23",,,
"154527","Wartburg College","2016","Evangelical Lutheran Church","60174","69","68","16","422","520","480","550","21","26","51815772","16391226","64223053"
"154712","Benedictine College","2016","Roman Catholic","60477","63","69","29","445","610","450","620","21","28","45714816","14189010","22216371"
"154721","Bethany College","2016","Evangelical Lutheran Church","36612","42","64","23","420","500","430","520","18","23","15831355","3966884","6143867"
"154749","Bethel College-North Newton","2016","Other (none of the above)","49872","53","56","23",,,,,,,"13862698","3714376","17144116"
"154855","Central Christian College of Kansas","2016","Free Methodist","31557","23","54","27","410","500","410","490","17","22","13101374","6181962","5964810"
"155414","Kansas Wesleyan University","2016","United Methodist","52874","35","55","39","420","570","450","530","19","24","16076683","3947414","26842460"
"155511","McPherson College","2016","Church of Brethren","52845","37","57","28","460","580","440","550","19","24","16107027","5389090","44411112"
"155627","Ottawa University-Ottawa","2016","American Baptist","58959","31","50","26",,,,,,,"35351528","6903574","14349512"
"155636","Ottawa University-Kansas City","2016","American Baptist","46500",,,,,,,,,,,,
"155937","Sterling College","2016","Not applicable","40059","45","37","33","440","490","440","540","18","23","14909638","3161668","15973485"
"155973","Tabor College","2016","Mennonite Brethren Church","39165","48","56","39","410","490","420","520","18","24","14767950","3435772","8723730"
"156189","Alice Lloyd College","2016","Not applicable","42551","31","22","12","440","590","470","540","18","25","13825599","2869064","38008067"
"156295","Berea College","2016","Not applicable","69398","63","33","73","490","600","510","620","22","27","102374199","24554351","1050679900"
"156356","Brescia University","2016","Roman Catholic","47235","27","47","6","405","515","460","520","20","26","14295585","6047769","11560921"
"156408","Centre College","2016","Presbyterian Church (USA)","74087","86","74","21","520","650","560","690","26","31","61285801","24416013","273857968"
"156745","Georgetown College","2016","Baptist","55542","57","66","21","450","530","420","530","20","26","32411551","8196037","37209631"
"157058","Kentucky State University","2016","Not applicable","57007","21","49","12","405","480","345","465","17","21",,,
"157076","Kentucky Wesleyan College","2016","United Methodist","47239","38","57","29","430","580","440","560","18","24","16319465","3402328","34327772"
"157100","Kentucky Christian University","2016","Christian Churches and Churches of Christ","43282","29","39","46","390","500","420","540","18","23","12935507","2857958","6179851"
"157535","University of Pikeville","2016","Presbyterian Church (USA)","53952","26","100","14","410","490","380","510","17","22","43844682","11320151","19980288"
"157818","Transylvania University","2016","Christian Church (Disciples of Christ)","64443","75","95","21",,,,,,,"37939692","11578988","167326664"
"158477","Centenary College of Louisiana","2016","United Methodist","63604","47","64","23","470","580","470","590","22","28","26119554","7150787","122482267"
"158802","Dillard University","2016","United Methodist","55824","39","39","16","410","530","410","520","18","21","47348959","15231193","81871091"
"159382","Louisiana State University-Alexandria","2016","Not applicable","49294","23","33","76","429","540","330","580","18","23",,,
"160065","University of Holy Cross","2016","Roman Catholic","54653","29","40","53",,,,,"18","22","13907581","5863719","31851002"
"160959","College of the Atlantic","2016","Not applicable","72260","65","65","25",,,,,,,"23917462","4813052","50031343"
"160977","Bates College","2016","Not applicable","98786","88","23","40",,,,,,,"104574672","39275764","250976477"
"161004","Bowdoin College","2016","Not applicable","104839","94","15","50",,,,,,,"157390000","54546000","1339981000"
"161086","Colby College","2016","Not applicable","105829","89","19","28","630","725","640","745","30","33","139050000","47400000","710659000"
"161217","University of Maine at Augusta","2016","Not applicable","66753","14",,,,,,,,,,,
"161226","University of Maine at Farmington","2016","Not applicable","63437","56","80","29",,,,,,,,,
"161235","University of Maine at Fort Kent","2016","Not applicable","59402","27","81","44","390","510","400","475","16","22",,,
"161244","University of Maine at Machias","2016","Not applicable","57772","27",,,,,,,,,,,
"161299","Maine Maritime Academy","2016","Not applicable","68907","62","76","37","450","560","480","580","21","25",,,
"161341","University of Maine at Presque Isle","2016","Not applicable","57886","35","87","14",,,,,,,,,
"161572","Unity College","2016","Not applicable","47662","58","93","23",,,,,,,"17409670","4371174","13347763"
"162654","Goucher College","2016","Not applicable","71056","62","79","16",,,,,,,"70783000","26344953","201482000"
"163912","St Mary's College of Maryland","2016","Not applicable","65932","73","80","24","510","640","490","610","23","29",,,
"163921","Sojourner-Douglass College","2016",,,,,,,,,,,,,,
"163976","St. John's College","2016","Not applicable","84033","76","53","39","610","730","570","710","27","33","30364898","10296644","83039808"
"164155","United States Naval Academy","2016","Not applicable","100989","86","10","88","580","690","600","700","26","31",,,
"164216","Washington College","2016","Not applicable","74145","73","49","12",,,,,,,"74647751","20922189","198135420"
"164270","McDaniel College","2016","Not applicable","63763","68","78","21","490","600","490","610","21","28","63112000","22822000","109996000"
"164465","Amherst College","2016","Not applicable","114762","93","14","41","680","775","680","780","31","34","199446914","54591298","2031842927"
"164720","Becker College","2016","Not applicable","69490","37","65","14","460","570","460","560","21","26","45211957","10503775","4280799"
"165671","Emmanuel College","2016","Roman Catholic","78373","67","71","13","520","600","510","600","23","27","62232946","18206619","125652312"
"165936","Gordon College","2016","Interdenominational","72199","70","92","17","450","600","440","610","22","29","63809712","20477316","44166187"
"166018","Hampshire College","2016","Not applicable","80579","65","64","23",,,,,,,"57047254","20811521","46680067"
"166124","College of the Holy Cross","2016","Roman Catholic","97946","92","38","30",,,,,,,"170654426","64408248","679422476"
"166939","Mount Holyoke College","2016","Not applicable","89346","84","52","32",,,,,,,"143205607","55152365","667564847"
"166948","Mount Ida College","2016","Not applicable","60143","43","68","22",,,,,,,"43231072","12636220","23526670"
"167251","Newbury College","2016","Not applicable","55312","42","83","12",,,,,,,"19622488","5461609","2100000"
"167288","Massachusetts College of Liberal Arts","2016","Not applicable","80991","53","77","21","450","580","440","550","20","25",,,
"167455","Pine Manor College","2016","Not applicable","49423","28","74","20",,,,,,,"17351051","4700606","9262014"
"167792","Bard College at Simon's Rock","2016","Not applicable","66553",,"87","56",,,,,,,"20972571","6731239","7734752"
"167835","Smith College","2016","Not applicable","108674","89","37","33",,,,,,,"227934665","85796981","1627469366"
"167996","Stonehill College","2016","Roman Catholic","81455","80","73","16",,,,,,,"92691053","33392287","178738401"
"168218","Wellesley College","2016","Not applicable","107864","91","29","43","660","750","650","750","30","33","225281000","103480000","1784479000"
"168281","Wheaton College","2016","Not applicable","83143","79","67","19",,,,,,,"78192344","29167722","184806070"
"168342","Williams College","2016","Not applicable","112083","94","18","45","670","770","660","770","31","34","243563359","97208614","2159403061"
"168528","Adrian College","2016","United Methodist","70923","53","58","15","420","505","420","510","19","24","46037117","14229690","33612890"
"168546","Albion College","2016","United Methodist","66072","71","72","17","430","590","450","620","20","26","59500080","19810840","173073245"
"168591","Alma College","2016","Presbyterian Church (USA)","65770","67","68","14","420","590","460","593","21","26","48294142","16339833","109946264"
"169080","Calvin College","2016","Christian Reformed Church","75915","77","75","31","520","635","530","650","23","29","122244737","53849507","129091034"
"169363","Concordia University-Ann Arbor","2016","Lutheran Church - Missouri Synod","44538","39","60","41",,,,,"19","24","20600213","7354409","6872716"
"170286","Hillsdale College","2016","Undenominational","59771","83","45","43","620","750","570","690","28","32","104807005","35285331","482288798"
"170301","Hope College","2016","Reformed Church in America","73867","79","84","22","490","640","510","630","23","29","114714494","37554429","185869153"
"170532","Kalamazoo College","2016","Not applicable","74346","81","66","15",,,,,,,"57964176","24680798","206774239"
"170639","Lake Superior State University","2016","Not applicable","60132","42","91","30","430","540","430","520","20","25",,,
"170967","Rochester College","2016","Churches of Christ","48925","26","57","32","390","580","395","555","18","24","13644756","4746855","3665265"
"171599","Olivet College","2016","United Church of Christ","52759","48","53","25","400","590","470","590","18","23","20369894","5566740","16817663"
"171881","Kuyper College","2016","Other Protestant","47458","43","73","35","500","600","400","500","19","28","6369477","2561150","8454583"
"172440","Finlandia University","2016","Evangelical Lutheran Church","42800","22","46","15","350","490","340","490","16","21","13302654","3893943","4789324"
"173142","Bethany Lutheran College","2016","Other (none of the above)","58577","55","80","52","410","590","470","550","20","27","17673482","6756307","39853189"
"173258","Carleton College","2016","Not applicable","105190","92","23","39","660","770","660","770","30","33","133615578","57304177","738135608"
"173300","Concordia College at Moorhead","2016","Evangelical Lutheran Church","64476","73","65","22",,,,,,,"83083081","28939673","107211380"
"173647","Gustavus Adolphus College","2016","Evangelical Lutheran Church","65286","81","65","17",,,,,,,"83605612","36359511","140713734"
"173902","Macalester College","2016","Presbyterian Church (USA)","91609","88","37","23","630","740","630","750","29","33","111603000","42584000","701635000"
"174075","University of Minnesota-Crookston","2016","Not applicable","65029","54","68","24","370","510","430","590","20","24",,,
"174251","University of Minnesota-Morris","2016","Not applicable","63829","64","58","19","490","580","530","690","22","28",,,
"174394","Sanford-Brown College-Mendota Heights","2016","Not applicable",,"31",,,,,,,,,,,
"174437","North Central University","2016","Assemblies of God Church","59104","48","66","42","465","580","440","558","19","25","26982078","8548407","3187555"
"174747","College of Saint Benedict","2016","Roman Catholic","74543","84","88","31","450","570","430","560","22","28","66263910","23992929","60290451"
"174792","Saint Johns University","2016","Roman Catholic","75369","79","88","36","480","550","460","590","22","28","73572104","25614714","159303656"
"174844","St Olaf College","2016","Evangelical Lutheran Church","78994","88","45","30","550","700","570","700","26","31","122700292","54028620","448381792"
"174862","Crown College","2016","Christ and Missionary Alliance Church","44110","47","54","40","370","490","380","530","19","25","17976114","3404319","7407011"
"175430","Blue Mountain College","2016","Southern Baptist","47170","51","97","61","480","540","420","660","18","23","8670214","3656396","13885663"
"175980","Millsaps College","2016","United Methodist","69429","72","59","10","523","610","523","630","23","28","39369389","13743188","105923939"
"176318","Rust College","2016","United Methodist","41938","33","47","14",,,,,"13","17","16117745","3433201","31758639"
"176406","Tougaloo College","2016","United Church of Christ","43280","42","52","17","420","580","430","600","16","24","26165163","4703204","12541308"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2016","United Methodist","53274","45","61","32","400","460","440","530","20","24","33080302","17104134","35376000"
"177144","Culver-Stockton College","2016","Christian Church (Disciples of Christ)","48920","47","58","14","420","490","430","510","18","23","19368773","4634631","20146026"
"177542","Hannibal-LaGrange University","2016","Southern Baptist","43970","40","62","38",,,,,,,"17188336","5117166","6590961"
"177551","Harris-Stowe State University","2016","Not applicable","34823","6",,,,,,,,,,,
"178341","Missouri Southern State University","2016","Not applicable","53440","30","94","43",,,,,"18","24",,,
"178369","Missouri Valley College","2016","Presbyterian Church (USA)","41688","26","46","29",,,,,,,"19397113","5543246","5660378"
"178387","Missouri Western State University","2016","Not applicable","60766","30",,,,,,,,,,,
"178697","College of the Ozarks","2016","Evangelical Christian","65900","69","14","95","525","566","500","593","21","25","52258792","16577006","416231977"
"179946","Westminster College","2016","Presbyterian Church (USA)","53995","64","65","20","410","600","440","580","21","26","24248630","6312851","49954617"
"179955","William Jewell College","2016","Not applicable","60626","63","51","23","480","665","500","620","22","28","35469403","11186022","59906896"
"180106","Carroll College","2016","Roman Catholic","58043","66","71","16","490","600","500","620","22","28","37885081","11620643","48391702"
"180258","University of Providence","2016","Roman Catholic","46288","28","57","15",,,,,,,"16239124","4063789","10243812"
"180416","Montana Tech of the University of Montana","2016","Not applicable","66025","45","89","37","500","570","530","610","22","26",,,
"180522","Montana State University-Northern","2016","Not applicable","50349","22","100","47","420","480","425","493","16","22",,,
"180595","Rocky Mountain College","2016","United Church of Christ","56622","48","62","23","440","553","438","553","20","24","22820910","8769832","26460611"
"180692","The University of Montana-Western","2016","Not applicable","56775","52",,,,,,,,,,,
"181020","Doane University-Arts & Sciences","2016","Not applicable","54784","59","76","20","440","520","490","590","21","26","40505576","12925938","107901178"
"181093","Grace University","2016","Interdenominational","42539","55","57","28","398","598","315","518","17","25","9357883","4899021","1957263"
"181127","Hastings College","2016","Presbyterian Church (USA)","40564","58","64","25","460","500","430","510","20","26","28761921","9022527","86835363"
"181330","Midland University","2016","Evangelical Lutheran Church","55836","46","61","33","420","520","420","535","19","24","24365849","6567276","13842041"
"181738","Union College","2016","Seventh Day Adventist","50327","42","64","14","458","598","418","585","18","26","25181878","9140346","19026900"
"181853","York College","2016","Churches of Christ","47158","68","50","32","410","500","400","470","17","23","9670196","2260200","11270732"
"182634","Colby-Sawyer College","2016","Not applicable","66625","59","87","15",,,,,,,"36164253","10475415","35989146"
"183071","University of New Hampshire at Manchester","2016","Not applicable","86028","65","70","35","480","610","500","610","22","26",,,
"183239","Saint Anselm College","2016","Roman Catholic","76983","72","76","18","520","610","530","610","23","28","73786737","24780868","122871924"
"183257","Granite State College","2016","Not applicable","47417","8",,,,,,,,,,,
"183275","Thomas More College of Liberal Arts","2016","Roman Catholic","43001","75","100","57",,,,,,,"2536560","866779","48199"
"183822","Bloomfield College","2016","Presbyterian Church (USA)","75161","31","62","23","390","460","380","490","16","20","45383516","16525346","12605066"
"184348","Drew University","2016","United Methodist","82535","61","57","18",,,,,,,"90407000","30141000","130888000"
"189088","Bard College","2016","Not applicable","88226","78","56","17",,,,,,,"172882869","81460595","136542669"
"189097","Barnard College","2016","Not applicable","116828","91","17","51","640","740","630","730","29","33","156124000","59872000","286761000"
