"unitid","institution name","year","IC2016.Religious affiliation","DRVHR2016.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2016.Graduation rate - Bachelor degree within 6 years, total","DRVADM2016.Percent admitted - total","DRVADM2016.Admissions yield - total","ADM2016.SAT Critical Reading 25th percentile score","ADM2016.SAT Critical Reading 75th percentile score","ADM2016.SAT Math 25th percentile score","ADM2016.SAT Math 75th percentile score","ADM2016.ACT Composite 25th percentile score","ADM2016.ACT Composite 75th percentile score","F1516_F2.Total expenses","F1516_F2.Instruction-Total amount","F1516_F2.Value of endowment assets at the end of the fiscal year"
"100812","Athens State University","2016","Not applicable","75218",,,,,,,,,,,,
"100937","Birmingham Southern College","2016","United Methodist","65097","68","48","18","500","610","490","570","23","28","46195262","14131839","54221105"
"101073","Concordia College Alabama","2016","Lutheran Church - Missouri Synod","50443","3","24","68",,,,,,,"11165980","3618356","1046779"
"101116","South University-Montgomery","2016","Not applicable","43982","11",,,,,,,,,,,
"101435","Huntingdon College","2016","United Methodist","59537","39","57","28","420","525","425","525","19","24","21224418","6823409","46960612"
"101541","Judson College","2016","Baptist","50993","33","58","36","580","581","530","531","19","24","9438567","3358769","14072037"
"101675","Miles College","2016","Christian Methodist Episcopal","41141","17",,,,,,,,,"30715552","8237998","19334286"
"101693","University of Mobile","2016","Southern Baptist","46037","48","62","39","430","540","420","580","19","25","29164419","9595251","20415369"
"101912","Oakwood University","2016","Seventh Day Adventist","44455","47","48","37","390","520","360","490","16","21","52240860","11628053","13228594"
"102234","Spring Hill College","2016","Roman Catholic","59099","53","44","11","500","600","500","590","22","27","45009983","10598890","19709547"
"102270","Stillman College","2016","Presbyterian Church (USA)","45538","18","42","8","350","460","390","450","14","17","18602769","3433378","17944045"
"102298","Talladega College","2016","United Church of Christ","48562","43",,,,,,,,,"14633542","4151193","2381575"
"104090","Brookline College-Phoenix","2016","Not applicable","49623","29",,,,,,,,,,,
"104586","Embry-Riddle Aeronautical University-Prescott","2016","Not applicable","79727","63","76","37",,,,,,,,"28520750","30186000"
"105899","Arizona Christian University","2016","Undenominational","49228","36","59","57","410","538","450","550","18","22","11752242","3735131","1900778"
"106342","Lyon College","2016","Presbyterian Church (USA)","58426","39","74","19","455","540","490","580","22","26","22264206","6441681","59045129"
"106412","University of Arkansas at Pine Bluff","2016","Not applicable","52530","23","42","29","423","530","415","535","16","21",,,
"106713","Central Baptist College","2016","Baptist","47269","31","62","64","405","470","410","495","19","25","10716426","2443797","2592742"
"107080","Hendrix College","2016","United Methodist","69285","69","77","25","550","690","550","670","26","32","54085044","17591473","186790084"
"107512","Ouachita Baptist University","2016","Southern Baptist","56428","70","67","35","470","610","480","590","21","28","40583999","14470413","89602062"
"107558","University of the Ozarks","2016","Presbyterian Church (USA)","58514","42","87","24","390","500","430","530","19","24","21320306","6133995","94328057"
"107600","Philander Smith College","2016","United Methodist","46081","40",,,,,,,,,"16980136","3562437","9340847"
"107877","Williams Baptist College","2016","Southern Baptist","48676","35","61","28",,,,,"18","23","8707330","3138440","12791582"
"108092","University of Arkansas-Fort Smith","2016","Not applicable","59947","26",,,,,,,,,,,
"111188","California State University Maritime Academy","2016","Not applicable","82006","62","68","29",,,,,,,,,
"112084","San Diego Christian College","2016","Undenominational","57664","52","53","28","440","520","420","530","17","21","15610846","5417104","656599"
"112260","Claremont McKenna College","2016","Not applicable","121978","93","9","54","650","740","670","750","31","33","105522000","37127000","709106000"
"112394","Cogswell College","2016","Not applicable","65558","22","83","50",,,,,,,,,
"115409","Harvey Mudd College","2016","Not applicable","118482","93","13","40","680","780","740","800","32","35","64951272","28080482","272635872"
"115773","Humphreys University-Stockton and Modesto Campuses","2016","Not applicable","50691","47",,,,,,,,,"9973318","3216697","200996"
"116846","American Jewish University","2016","Jewish","66161","44","60","21",,,,,,,"24601813","3821558","21021049"
"118541","Marymount California University","2016","Roman Catholic","69953","19",,,,,,,,,"32162082","7678325","9461698"
"120254","Occidental College","2016","Not applicable","100620","81","46","17","600","700","600","720","28","31","116106569","41073675","371680490"
"120865","Pacific Union College","2016","Seventh Day Adventist","52477","48","47","25","440","560","420","550","17","25","50663443","14401482","23571390"
"121257","Pitzer College","2016","Not applicable","94169","88","14","47",,,,,,,"58143410","27601663","128248342"
"121345","Pomona College","2016","Not applicable","115772","97","9","54","670","770","670","770","31","34","165743000","63442000","1984930000"
"122728","William Jessup University","2016","Other Protestant","62201","65","73","37","460","580","440","560","19","25","26660518","7689906","2603122"
"123165","Scripps College","2016","Not applicable","101042","84","30","30","660","740","630","700","28","32","66042174","32279943","295781717"
"124292","Thomas Aquinas College","2016","Roman Catholic","81718","82","75","62","600","710","540","650","25","30","17637625","5571195","20182924"
"125727","Westmont College","2016","Not applicable","67005","77","83","21","520","650","520","630","23","29","59262341","22271651","74983501"
"125763","Whittier College","2016","Not applicable","77295","64","69","12","460","570","460","560","20","26","76682932","32321476","90655712"
"126678","Colorado College","2016","Not applicable","99326","87","16","42",,,,,,,"137761938","52593104","656427730"
"127185","Fort Lewis College","2016","Not applicable","64367","45","92","20","470","570","470","550","19","24",,,
"127556","Colorado Mesa University","2016","Not applicable","59166","36","83","34","435","540","435","550","18","24",,,
"127680","National American University-Colorado Springs","2016","Not applicable","29312","0",,,,,,,,,,,
"128328","United States Air Force Academy","2016","Not applicable","78974","83","15","75","600","690","620","720","27","33",,,
"128780","Charter Oak State College","2016","Not applicable",,,,,,,,,,,,,
"128902","Connecticut College","2016","Not applicable","90217","84","35","23",,,,,,,"112015000","40646000","273576000"
"129774","Mitchell College","2016","Not applicable","61911","45","88","15",,,,,,,"20083628","3641069","8057239"
"130590","Trinity College","2016","Not applicable","95018","85","34","28",,,,,,,"151497337","42815900","532344486"
"130624","United States Coast Guard Academy","2016","Not applicable","64299","87","51","50","530","620","530","620","23","28",,,
"130697","Wesleyan University","2016","Not applicable","106089","91","18","36",,,,,,,"201721000","93470000","802204000"
"131098","Wesley College","2016","United Methodist","64137","22","60","19","370","460","370","470","15","17","33600521","11095885","6201188"
"132602","Bethune-Cookman University","2016","United Methodist","60413","33",,,,,,,,,"95028431","25327333","47899540"
"133492","Eckerd College","2016","Presbyterian Church (USA)","67829","66","72","17","500","620","500","590","22","28","71629844","28574348","51282054"
"133526","Edward Waters College","2016","African Methodist Episcopal","44974","26","58","12","370","450","350","460","15","18","22236082","4724233","1680649"
"133711","Flagler College-St Augustine","2016","Not applicable","57105","60","55","23","490","590","470","560","22","26","56125212","19824704","59386131"
"133979","Florida Memorial University","2016","Baptist","66198","38","25","28",,,,,,,"37331542","8717928","5115677"
"135610","Trinity International University-Florida","2016","Evangelical Free Church of America","62037","20",,,,,,,,,"3486214","1179868","311588"
"138275","Warner University","2016","Church of God","42784","33","44","54","402","480","400","490","17","20","17888497","3912783","6815617"
"138293","Webber International University","2016","Not applicable","38697","28","50","50","410","490","412","510","17","20","12947877","1984483","4949811"
"138600","Agnes Scott College","2016","Presbyterian Church (USA)","81677","70","65","30",,,,,,,"53833355","16574235","223093814"
"138868","Point University","2016","Christian Churches and Churches of Christ","50395","37","51","53","400","490","410","520","17","22","25296439","7107154","4311675"
"139205","Brewton-Parker College","2016","Baptist","39230","22",,,,,,,,,"8831131","2265245","7570223"
"139393","Covenant College","2016","The Presbyterian Church in America","66361","67","96","45","540","670","510","630","24","29","28578630","10215425","34135905"
"139630","Emmanuel College","2016","Pentecostal Holiness Church","45834","27","41","42","410","540","420","530","18","21","16706046","3258651","594464"
"140234","LaGrange College","2016","United Methodist","55842","47","58","27","470","550","460","540","20","24","33331296","12808793","49011535"
"140340","Herzing University-Atlanta","2016","Not applicable","54299","14","96","53",,,,,,,,,
"140553","Morehouse College","2016","Not applicable","66655","50","66","29","430","550","430","545","19","24","88000103","23990726","132316622"
"140696","Oglethorpe University","2016","Not applicable","60330","47","80","25","520","620","500","610","22","27","25221810","8591146","30301222"
"140720","Paine College","2016","United Methodist","40097","20","25","11","320","420","300","410","14","17","15278724","8747741",
"140872","Reinhardt University","2016","United Methodist","52872","34","87","32","420","530","430","540","18","23","27452010","9179425","39061984"
"140988","Shorter University","2016","Baptist","45773","37","61","29","420","560","410","510","18","23","32343924","8447233","13551234"
"141060","Spelman College","2016","Not applicable","72498","77","36","19","500","590","480","580","22","26","96097259","28848794","346981172"
"141185","Toccoa Falls College","2016","Christ and Missionary Alliance Church","47571","47","54","45","420","550","410","530","18","23","20315262","4519065","2650806"
"141237","Truett McConnell University","2016","Southern Baptist","35809","42","91","45","430","530","430","523","18","22","16484874","5016293","6095102"
"141325","Wesleyan College","2016","United Methodist","58252","58","38","33","480","588","450","530","19","26","18808261","7001795","58612096"
"141361","Young Harris College","2016","United Methodist","54456","42","55","26","440","570","440","550","18","25","34771511","10275982","96213886"
"141981","University of Hawaii-West Oahu","2016","Not applicable","81657","14","68","39",,,,,,,,,
"142294","The College of Idaho","2016","Not applicable","59910","57","85","29",,,,,,,"31438033","9239845","96085098"
"142328","Lewis-Clark State College","2016","Not applicable","52170","27","97","51","410","520","410","510","18","23",,,
"142522","Brigham Young University-Idaho","2016","Latter Day Saints (Mormon Church)","69862","44","96","54","450","560","450","550","20","25","261291000","156854000",
"143084","Augustana College","2016","Evangelical Lutheran Church","68837","77","52","21",,,,,,,"74979020","25115996","140714914"
"143288","Blackburn College","2016","Presbyterian Church (USA)","52514","42","54","32","420","450","370","440","18","23","14188476","3803877","18804508"
"144883","East-West University","2016","Not applicable","60746","11",,,,,,,,,"11798825","3060881",
"144971","Eureka College","2016","Christian Church (Disciples of Christ)","52886","52","65","23","410","620","410","590","19","25","17212601","4543695","19966439"
"145646","Illinois Wesleyan University","2016","Not applicable","73436","81","58","19","510","640","620","760","25","29","74145863","31973221","230533447"
"145691","Illinois College","2016","Presbyterian Church (USA)","65938","68","54","12",,,,,,,"35893311","10414913","134885361"
"146393","Kendall College","2016","Not applicable","52518","17","84","44",,,,,,,,,
"146427","Knox College","2016","Not applicable","66889","77","65","15",,,,,,,"50269060","18220020","123722376"
"146481","Lake Forest College","2016","Not applicable","77070","70","57","15",,,,,,,"55313917","17384872","83907058"
"146825","MacMurray College","2016","United Methodist","50737","23","56","23","390","460","460","480","18","22","12458976","4187470","13488255"
"147244","Millikin University","2016","Presbyterian Church (USA)","53268","60","64","19","470","580","440","500","19","26","51281458","20978134","115224138"
"147341","Monmouth College","2016","Presbyterian Church (USA)","61125","56","52","17","430","530","430","560","19","26","38607788","15173811","94774985"
"148016","Principia College","2016","Not applicable","69618","68","91","76","490","620","480","620","22","28","42473207","11365919","360000211"
"149505","Trinity Christian College","2016","Interdenominational","60359","58","70","26","416","618","450","600","20","27","29635003","12697746","10937318"
"149781","Wheaton College","2016","Undenominational","81075","91","79","40","590","710","580","690","27","32","122088038","40584589","388033314"
"150400","DePauw University","2016","Not applicable","84736","85","65","18","510","620","530","660","24","29","110036114","47157914","614568390"
"150455","Earlham College","2016","Friends","67996","71","58","21",,,,,,,"59804751","27752371","384132175"
"150604","Franklin College","2016","American Baptist","59732","66","78","21","420","530","430","550","19","25","29501679","9648530","80617215"
"150668","Goshen College","2016","Mennonite Church","48720","68","62","30","430","623","440","573","22","29","29494340","9177304","100964742"
"150756","Hanover College","2016","Presbyterian Church (USA)","68631","71","57","15","470","580","470","570","22","27","37029308","14935789","136170828"
"150774","Holy Cross College","2016","Roman Catholic","46702","40","91","33","440","580","410","590","19","29","13287320","2833960","1513827"
"150941","Huntington University","2016","United Brethren Church","56450","65","89","28","450","570","450","580","18","25","26951534","10898882","25198022"
