"unitid","institution name","year","EF2011A.Level of student","EF2011A.Grand total","EF2011A.Grand total women","EF2011A.Asian total","EF2011A.Black or African American total","EF2011A.Hispanic total","IDX_EF"
"100812","Athens State University","2011","All students, Undergraduate total","3389","2204","22","417","36","-2"
"100937","Birmingham Southern College","2011","All students, Undergraduate total","1305","639","59","98","33","-2"
"101073","Concordia College Alabama","2011","All students, Undergraduate total","719","310","1","687","3","-2"
"101116","South University-Montgomery","2011","All students, Undergraduate total","642","458","5","440","16","-2"
"101435","Huntingdon College","2011","All students, Undergraduate total","1123","566","6","193","22","-2"
"101541","Judson College","2011","All students, Undergraduate total","353","344","4","53","6","-2"
"101675","Miles College","2011","All students, Undergraduate total","1634","819","0","1582","10","-2"
"101693","University of Mobile","2011","All students, Undergraduate total","1544","1038","11","365","17","-2"
"101912","Oakwood University","2011","All students, Undergraduate total","1953","1114","6","1699","17","-2"
"102234","Spring Hill College","2011","All students, Undergraduate total","1257","793","13","241","102","-2"
"102270","Stillman College","2011","All students, Undergraduate total","1072","571","0","994","9","-2"
"102298","Talladega College","2011","All students, Undergraduate total","712","398","3","624","39","-2"
"104090","Brookline College-Phoenix","2011","All students, Undergraduate total","1585","1317","19","170","457","-2"
"104586","Embry-Riddle Aeronautical University-Prescott","2011","All students, Undergraduate total","1672","300","90","29","182","-2"
"105899","Arizona Christian University","2011","All students, Undergraduate total","598","294","11","29","45","-2"
"106342","Lyon College","2011","All students, Undergraduate total","600","321","10","26","28","-2"
"106412","University of Arkansas at Pine Bluff","2011","All students, Undergraduate total","3063","1736","8","2877","18","-2"
"106713","Central Baptist College","2011","All students, Undergraduate total","858","410","5","158","27","-2"
"107080","Hendrix College","2011","All students, Undergraduate total","1415","821","47","43","70","-2"
"107512","Ouachita Baptist University","2011","All students, Undergraduate total","1594","848","10","98","47","-2"
"107558","University of the Ozarks","2011","All students, Undergraduate total","630","329","2","29","43","-2"
"107600","Philander Smith College","2011","All students, Undergraduate total","732","474","1","678","4","-2"
"107877","Williams Baptist College","2011","All students, Undergraduate total","593","356","0","31","1","-2"
"108092","University of Arkansas-Fort Smith","2011","All students, Undergraduate total","7606","4423","339","314","585","-2"
"111188","California State University Maritime Academy","2011","All students, Undergraduate total","886","127","65","33","114","-2"
"112084","San Diego Christian College","2011","All students, Undergraduate total","617","322","8","75","106","-2"
"112260","Claremont McKenna College","2011","All students, Undergraduate total","1301","617","150","42","107","-2"
"112394","Cogswell College","2011","All students, Undergraduate total","288","55","31","10","44","-2"
"115409","Harvey Mudd College","2011","All students, Undergraduate total","784","328","162","10","50","-2"
"115773","Humphreys University-Stockton and Modesto Campuses","2011","All students, Undergraduate total","923","752","82","194","334","-2"
"116846","American Jewish University","2011","All students, Undergraduate total","135","65","1","3","5","-2"
"118541","Marymount California University","2011","All students, Undergraduate total","923","473","42","87","211","-2"
"120254","Occidental College","2011","All students, Undergraduate total","2125","1210","285","86","305","-2"
"120865","Pacific Union College","2011","All students, Undergraduate total","1529","828","300","95","339","-2"
"121257","Pitzer College","2011","All students, Undergraduate total","1099","676","89","67","177","-2"
"121345","Pomona College","2011","All students, Undergraduate total","1586","809","163","97","210","-2"
"122728","William Jessup University","2011","All students, Undergraduate total","869","513","27","45","134","-2"
"123165","Scripps College","2011","All students, Undergraduate total","967","966","115","35","80","-2"
"124292","Thomas Aquinas College","2011","All students, Undergraduate total","358","182","3","0","44","-2"
"125727","Westmont College","2011","All students, Undergraduate total","1337","827","81","19","165","-2"
"125763","Whittier College","2011","All students, Undergraduate total","1573","837","161","81","539","-2"
"126678","Colorado College","2011","All students, Undergraduate total","2026","1089","83","22","156","-2"
"127185","Fort Lewis College","2011","All students, Undergraduate total","3841","1860","13","39","292","-2"
