"unitid","institution name","year","DRVGR2010_RV.Graduation rate - Bachelor degree within 6 years, total"
"211477","Central Penn College","2010","63"
"211608","Cheyney University of Pennsylvania","2010","24"
"212009","Dickinson College","2010","82"
"212197","Elizabethtown College","2010","78"
"212577","Franklin and Marshall College","2010","87"
"212674","Gettysburg College","2010","85"
"212805","Grove City College","2010","83"
"212911","Haverford College","2010","92"
"213251","Juniata College","2010","71"
"213303","Keystone College","2010","46"
"213358","La Roche College","2010","43"
"213385","Lafayette College","2010","89"
"213668","Lycoming College","2010","70"
"213996","Messiah College","2010","75"
"214157","Moravian College","2010","71"
"214175","Muhlenberg College","2010","86"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2010","70"
"214625","Pennsylvania State University-Penn State New Kensington","2010","41"
"214634","Pennsylvania State University-Penn State Shenango","2010","30"
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2010","58"
"214652","Pennsylvania State University-Penn State Worthington Scranton","2010","49"
"214670","Pennsylvania State University-Penn State Lehigh Valley","2010","54"
"214689","Pennsylvania State University-Penn State Altoona","2010","69"
"214698","Pennsylvania State University-Penn State Beaver","2010","43"
"214704","Pennsylvania State University-Penn State Berks","2010","58"
"214731","Pennsylvania State University-Penn State Brandywine","2010","39"
"214786","Pennsylvania State University-Penn State Greater Allegheny","2010","47"
"214801","Pennsylvania State University-Penn State Abington","2010","49"
"214810","Pennsylvania State University-Penn State Schuylkill","2010","44"
"214829","Pennsylvania State University-Penn State York","2010","39"
"214883","Peirce College","2010","78"
"215266","University of Pittsburgh-Bradford","2010","40"
"215275","University of Pittsburgh-Greensburg","2010","58"
"215284","University of Pittsburgh-Johnstown","2010","56"
"215798","Saint Vincent College","2010","77"
"216278","Susquehanna University","2010","79"
"216287","Swarthmore College","2010","93"
"216357","Thiel College","2010","40"
"216524","Ursinus College","2010","81"
"216542","University of Valley Forge","2010","100"
"216667","Washington & Jefferson College","2010","71"
"216807","Westminster College","2010","79"
"217013","Wilson College","2010","56"
"217624","Allen University","2010","8"
"217721","Benedict College","2010","27"
"217873","Claflin University","2010","46"
"217907","Coker College","2010","54"
"217998","Erskine College","2010","63"
"218070","Furman","2010","84"
"218229","Lander University","2010","42"
"218238","Limestone College","2010","40"
"218399","Morris College","2010","25"
"218414","Newberry College","2010","48"
"218539","Presbyterian College","2010","66"
"218645","University of South Carolina-Aiken","2010","38"
"218654","University of South Carolina-Beaufort","2010","19"
"218742","University of South Carolina-Upstate","2010","39"
"218919","Voorhees College","2010","28"
"218973","Wofford College","2010","83"
"219000","Augustana University","2010","67"
"219091","Dakota Wesleyan University","2010","38"
"219204","National American University-Rapid City","2010","35"
"220181","Fisk University","2010","59"
"220206","Welch College","2010","53"
"220598","Lane College","2010","32"
"220604","Le Moyne-Owen College","2010","17"
"220701","Martin Methodist College","2010","75"
"220710","Maryville College","2010","59"
"221351","Rhodes College","2010","80"
"221519","Sewanee-The University of the South","2010","81"
"221731","Tennessee Wesleyan University","2010","51"
"222983","Austin College","2010","79"
"224527","East Texas Baptist University","2010","36"
"225548","Howard Payne University","2010","39"
"225575","Huston-Tillotson University","2010","24"
"225885","Jarvis Christian College","2010","29"
"226587","McMurry University","2010","38"
"227429","Paul Quinn College","2010","9"
"228042","Schreiner University","2010","40"
"228343","Southwestern University","2010","73"
"228468","Southwestern Adventist University","2010","42"
"228884","Texas College","2010","6"
"228981","Texas Lutheran University","2010","46"
"229887","Wiley College","2010","0"
"230047","Brigham Young University-Hawaii","2010","56"
"230630","Stevens-Henager College","2010","37"
"230816","Bennington College","2010","60"
"230834","Castleton University","2010","41"
"230931","Lyndon State College","2010","37"
"230940","Marlboro College","2010","50"
"230959","Middlebury College","2010","91"
"231059","Saint Michael's College","2010","77"
"231077","College of St Joseph","2010","58"
"231086","Southern Vermont College","2010","30"
"231095","Sterling College","2010","50"
"231420","Averett University","2010","34"
"231554","Bluefield College","2010","34"
"231581","Bridgewater College","2010","64"
"232025","Emory & Henry College","2010","50"
"232089","Ferrum College","2010","31"
"232256","Hampden-Sydney College","2010","68"
"232308","Hollins University","2010","63"
"233295","Randolph-Macon College","2010","62"
"233301","Randolph College","2010","60"
"233374","University of Richmond","2010","87"
"233426","Roanoke College","2010","71"
"233611","Southern Virginia University","2010","27"
"233718","Sweet Briar College","2010","59"
"233897","The University of Virginia's College at Wise","2010","48"
"234085","Virginia Military Institute","2010","70"
"234164","Virginia Union University","2010","32"
"234173","Virginia Wesleyan University","2010","45"
"234207","Washington and Lee University","2010","93"
"236328","University of Puget Sound","2010","80"
"237057","Whitman College","2010","86"
"237118","Alderson Broaddus University","2010","51"
"237181","Bethany College","2010","58"
"237215","Bluefield State College","2010","12"
"237358","Davis & Elkins College","2010","59"
"237385","Glenville State College","2010","28"
"237640","Ohio Valley University","2010","55"
"237792","Shepherd University","2010","43"
"237899","West Virginia State University","2010","23"
"237932","West Liberty University","2010","39"
"237950","West Virginia University Institute of Technology","2010","33"
"238333","Beloit College","2010","77"
"238476","Carthage College","2010","58"
"239017","Lawrence University","2010","73"
"239071","Maranatha Baptist University","2010","45"
"239512","Northland College","2010","54"
"239628","Ripon College","2010","71"
"239716","Saint Norbert College","2010","77"
"240338","Wisconsin Lutheran College","2010","58"
"240374","University of Wisconsin-Parkside","2010","32"
"240426","University of Wisconsin-Superior","2010","43"
"241128","American University of Puerto Rico","2010","24"
"241191","Universidad Adventista de las Antillas","2010","34"
"241386","Caribbean University-Carolina","2010","25"
"241720","Colegio Universitario de San Juan","2010","35"
"242644","Inter American University of Puerto Rico-Barranquitas","2010","38"
"242680","Inter American University of Puerto Rico-Fajardo","2010","21"
"242699","Inter American University of Puerto Rico-Guayama","2010","27"
"242705","Inter American University of Puerto Rico-Bayamon","2010","24"
"243106","University of Puerto Rico-Aguadilla","2010","26"
"243115","University of Puerto Rico-Arecibo","2010","25"
"243133","University of Puerto Rico-Bayamon","2010","44"
"243142","University of Puerto Rico-Carolina","2010","26"
"243151","University of Puerto Rico-Cayey","2010","43"
"243179","University of Puerto Rico-Humacao","2010","40"
"243212","University of Puerto Rico-Ponce","2010","46"
"243586","Pontifical Catholic University of Puerto Rico-Mayaguez","2010","19"
"243832","EDP University of Puerto Rico Inc-San Juan","2010","13"
"245652","St. John's College","2010","57"
"245847","Antioch University-Santa Barbara","2010",
"262129","New College of Florida","2010","68"
"363916","Caribbean University-Vega Baja","2010","30"
"384254","Beacon College","2010","73"
"385619","Everglades University","2010","78"
"398130","Mt Sierra College","2010","30"
"399911","Soka University of America","2010","88"
"414823","Johnson & Wales University-North Miami","2010","49"
"414878","Trine University-Regional/Non-Traditional Campuses","2010",
"421832","Living Arts College","2010",
"428259","Ottawa University-Milwaukee","2010",
"432241","University of Phoenix-Oregon","2010","18"
"437325","Linfield College-Online and Continuing Education","2010",
"440466","University of Phoenix-Idaho","2010","15"
"441900","Nevada State College","2010","17"
"443410","DigiPen Institute of Technology","2010","72"
"445319","University of Phoenix-Minnesota","2010","8"
"446048","Ave Maria University","2010",
"447050","United States University","2010",
"447689","Georgia Gwinnett College","2010",
"449870","University of the West","2010","75"
"450085","The Art Institute of Charleston","2010",
"450298","Strayer University-Delaware","2010",
"451060","Digital Media Arts College","2010","42"
"454184","The King's College","2010","50"
"454582","Ottawa University-Online","2010",
"455770","Providence Christian College","2010",
"456621","Strayer University-West Virginia","2010",
"457484","Pacific Rim Christian University","2010",
"457697","City Vision University","2010",
"458496","The Art Institute of Virginia Beach","2010",
"458973","Strayer University-Texas","2010",
"458982","The Art Institute of San Antonio","2010",
"459268","South University–Virginia Beach","2010",
"459851","Herzing University-Brookfield","2010",
"460783","Remington College-Heathrow Campus","2010",
"461236","Georgia Christian University","2010",
"461795","North American University","2010",
"462044","Institute for Doctoral Studies in the Visual Arts","2010",
"462354","John Paul the Great Catholic University","2010",
"468015","South University-The Art Institute of Fort Worth","2010",
"468024","South University-Novi","2010",
"470092","The Art Institute of Wisconsin","2010",
"475200","Whitworth University-Adult Degree Programs","2010",
"480073","South University-Austin","2010",
"480134","Elizabethtown College School of Continuing and Professional Studies","2010",
"481720","South University-High Point","2010",
"482158","Middle Georgia State University","2010",
"484622","University of Phoenix-Arkansas","2010",
"484701","University of Phoenix-Missouri","2010",
"484783","University of Phoenix-Pennsylvania","2010",
